,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,0.93,0.91,0.86,0.73,0.62,0.64,0.56,0.54,0.66,0.61,0.51,0.4,0.55,0.66
e_1,0.74,1.0,1.04,1.06,0.87,0.94,0.77,0.77,0.62,0.92,0.65,0.73,0.55,0.75,0.63,0.57
d_1,1.07,0.96,1.0,0.98,0.99,0.86,0.69,0.49,0.98,0.56,0.64,0.58,0.53,0.62,0.46,0.42
c_1,1.1,0.94,1.02,1.0,1.44,0.82,0.7,0.77,0.66,0.49,0.64,0.61,0.61,0.65,0.54,0.55
b_1,1.16,1.16,1.01,0.69,1.0,1.28,0.74,0.77,0.64,0.76,0.69,0.74,0.72,0.64,0.54,0.57
a_1,1.38,1.06,1.17,1.23,0.78,1.0,0.9,0.8,0.93,0.84,0.95,0.77,0.81,0.69,,0.67
h_1,1.61,1.28,1.44,1.46,1.36,1.12,1.0,1.04,0.78,0.84,0.75,1.09,0.93,0.63,0.88,1.02
g_1,1.53,1.28,2.0,1.32,1.3,1.19,1.0,1.0,0.8,0.74,0.92,1.19,0.71,0.84,0.88,0.74
c_0,1.8,1.74,1.06,1.43,1.53,1.05,1.26,1.28,1.0,1.11,1.4,1.01,0.98,0.85,0.94,0.93
d_0,1.82,1.06,1.8,2.16,1.45,1.28,1.17,1.41,0.85,1.0,0.87,0.85,0.92,1.11,0.93,0.98
b_0,1.57,1.51,1.54,1.72,1.44,1.15,1.33,1.08,0.72,1.13,1.0,0.98,1.07,0.94,1.25,0.83
f_0,1.66,1.28,1.71,1.63,1.43,1.27,0.92,0.81,0.98,1.14,0.94,1.0,1.09,1.55,0.98,0.73
h_0,2.0,1.76,1.84,1.67,1.3,1.2,1.1,1.4,1.04,1.02,0.95,0.91,1.0,0.75,1.02,1.0
e_0,2.5,1.35,1.68,1.59,1.63,1.3,1.62,1.17,1.18,0.91,1.06,0.65,1.27,1.0,0.98,0.97
a_0,1.76,1.55,1.98,1.79,1.82,,1.11,1.22,1.13,1.06,0.78,1.02,1.06,1.02,1.0,1.05
g_0,1.43,1.74,2.43,1.84,1.75,1.48,0.98,1.28,1.06,0.99,1.22,1.3,1.02,1.02,0.91,1.0
