,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,95.21,67.37,100.65,131.34,192.87,522.28,11613.3,19410.61,34187.58,29588.92,47541.59,49920.7,132230.58,157457.59,278975.72,246657.46
f_1,86.23,102.87,96.83,105.61,164.16,533.18,9645.6,18382.79,24399.72,26300.09,45273.98,35248.14,116875.36,141993.28,235398.96,206825.42
d_1,57.87,65.81,141.94,85.71,139.81,481.66,10945.55,15809.46,17454.59,38971.51,45697.31,41800.12,117780.62,127977.42,219432.26,242032.87
c_1,48.42,59.67,90.78,145.12,246.88,502.08,9659.65,16719.64,17441.73,20614.45,29083.23,38455.76,108195.13,123430.66,199832.94,220939.55
b_1,44.04,56.37,77.45,63.67,222.8,671.23,8043.85,13994.39,14287.19,21944.93,28851.66,33462.14,97109.21,91627.56,186389.19,189160.76
a_1,33.13,37.81,57.65,53.66,79.8,570.67,6346.57,8726.92,12369.45,15594.71,23392.81,24520.78,75215.86,64435.85,142198.72,143895.67
h_1,15.15,19.93,25.56,24.18,42.27,118.38,3482.82,5453.83,5339.06,5909.29,11066.02,10252.59,27188.46,35553.69,72523.4,61266.14
g_1,11.27,13.4,27.16,20.73,33.46,113.39,2261.25,5367.58,3782.98,5264.54,8969.05,11991.8,24374.78,28534.89,49995.31,57896.54
d_0,10.88,13.4,17.19,30.65,41.55,97.09,2154.65,3685.81,5224.58,4584.5,8276.15,8671.96,28655.36,26846.94,53523.02,53001.68
c_0,11.91,13.91,16.74,19.3,28.57,101.09,2127.32,3696.36,4404.61,6331.79,12435.81,7887.69,24435.5,28531.67,48213.33,55119.91
b_0,9.96,11.26,16.59,20.4,23.07,58.31,1904.2,3574.02,3636.97,3814.15,9003.32,7706.69,19938.75,37137.97,43629.25,46641.71
f_0,8.47,10.35,17.41,17.97,28.58,82.46,1852.92,2900.6,3333.22,4624.92,7044.71,9363.7,22685.05,25212.69,42334.67,69444.33
h_0,7.37,10.08,12.73,11.83,20.26,62.21,1138.92,2806.81,2272.86,3268.96,5477.19,5186.15,13061.21,16883.22,38893.22,30007.8
a_0,6.7,7.72,11.75,12.67,19.6,47.25,1294.0,2105.97,2519.75,2998.47,4782.6,5472.4,15768.03,22238.12,28167.04,27662.18
g_0,5.71,6.86,12.6,10.29,14.54,49.9,935.16,1748.34,1829.48,2687.51,4411.67,5432.6,11002.05,13807.42,23219.49,25940.43
e_0,4.67,7.03,10.03,9.8,16.77,51.39,1125.57,1783.53,1912.27,2431.41,4143.65,3598.69,12384.56,13148.26,22010.59,33220.52
