,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.04,1.67,1.47,1.35,1.35,1.14,0.47,0.56,0.49,0.4,0.41,0.47,0.28,0.36,0.32,0.34
e_1,1.16,1.04,1.84,1.47,1.47,1.23,0.62,0.66,0.56,0.45,0.45,0.54,0.36,0.38,0.48,0.38
c_1,1.64,1.3,1.05,1.94,1.69,1.37,0.62,0.55,0.32,0.48,0.41,0.41,0.37,0.42,0.42,0.35
d_1,1.7,1.82,1.47,1.04,1.58,1.21,0.57,0.41,0.53,0.53,0.5,0.47,0.37,0.45,0.43,0.27
b_1,1.96,1.78,1.31,1.78,1.05,1.83,0.69,0.69,0.52,0.7,0.67,0.56,0.43,0.49,0.47,0.38
a_1,3.08,2.58,2.37,2.58,1.49,1.06,1.12,0.89,0.75,0.66,0.88,0.62,0.59,0.67,0.57,0.49
h_1,4.81,4.22,4.22,3.95,3.66,2.92,1.23,1.58,1.3,1.18,1.22,1.06,1.19,1.07,1.06,1.01
g_1,5.16,5.03,4.98,5.74,4.67,4.38,1.68,1.27,1.5,1.47,1.46,1.57,1.01,1.53,1.29,1.11
d_0,5.11,3.73,6.57,6.14,5.22,4.35,2.04,2.16,1.37,1.45,1.51,1.4,1.44,1.52,1.37,1.4
c_0,5.71,6.08,6.6,3.7,4.84,4.6,2.15,1.86,2.18,1.37,1.78,1.59,1.33,1.58,1.62,1.12
b_0,5.92,5.69,7.52,4.7,5.8,4.34,2.28,2.03,1.82,1.13,1.35,1.63,1.42,1.63,1.47,1.28
f_0,6.6,5.67,6.65,5.83,5.74,5.33,2.48,1.6,1.89,1.8,1.8,1.36,1.36,1.67,1.69,1.07
h_0,7.61,7.19,7.03,6.72,6.96,5.49,2.85,2.53,1.88,1.91,1.77,1.94,1.73,1.68,1.55,1.46
a_0,8.46,7.78,7.8,6.29,7.42,6.37,2.97,2.37,2.24,1.91,1.49,2.31,1.62,1.45,1.87,1.53
e_0,10.43,9.06,7.5,7.41,7.2,6.47,2.97,2.3,2.42,2.15,2.37,1.41,2.19,2.42,1.47,1.55
g_0,8.2,7.8,7.97,8.56,7.83,7.28,2.52,3.09,2.11,2.43,2.27,2.39,1.52,2.14,1.93,1.88
