,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.07,2.14,3.17,3.38,3.52,2.68,1.47,1.3,1.14,0.82,1.0,0.95,0.78,0.79,0.81,1.67
f_1,3.56,1.07,3.04,3.32,2.87,2.81,1.02,1.17,0.98,1.14,0.9,1.69,0.51,0.73,0.83,0.79
d_1,3.75,4.11,1.07,2.97,3.4,3.34,1.24,0.89,2.56,1.12,1.02,0.9,0.86,0.47,0.87,0.92
c_1,3.31,3.85,4.43,1.07,3.71,2.94,1.48,1.18,0.74,1.98,0.74,0.93,0.87,0.85,0.79,0.76
b_1,3.7,4.58,3.68,2.61,1.07,3.52,1.29,1.7,1.04,1.65,2.38,1.15,0.93,0.84,1.1,1.03
a_1,5.96,5.44,6.1,5.33,3.37,1.07,2.21,2.21,1.65,1.37,1.62,1.42,1.14,1.13,1.91,1.01
h_1,6.14,7.65,7.41,6.69,9.09,5.42,1.38,2.58,2.33,1.77,1.75,2.22,2.45,1.7,1.86,1.8
g_1,8.42,8.51,9.39,8.7,8.99,6.5,3.05,1.38,2.42,1.91,2.21,2.41,1.67,3.4,2.37,2.13
d_0,5.38,8.29,11.46,10.86,8.68,7.42,3.48,3.67,1.64,2.26,2.12,2.9,1.99,2.19,2.17,2.52
c_0,11.65,8.38,5.44,15.21,7.15,10.35,4.22,3.87,3.5,1.63,4.3,2.69,2.29,2.89,1.93,1.98
b_0,9.95,9.8,9.4,16.53,13.81,8.21,3.79,4.47,3.47,1.67,1.65,2.7,2.69,2.16,2.68,2.84
f_0,10.72,20.13,10.5,11.55,8.39,8.05,3.25,2.7,2.76,2.5,3.68,1.66,2.86,1.88,3.08,2.84
h_0,12.3,15.5,11.12,10.91,9.82,10.51,7.89,4.83,3.44,4.12,3.16,2.82,4.64,3.03,2.62,3.05
g_0,14.7,16.08,15.01,13.4,12.81,11.88,4.25,7.08,4.01,2.96,3.4,3.33,2.68,4.4,3.02,3.19
a_0,15.42,18.94,12.64,13.44,14.07,20.11,4.7,4.58,4.42,3.89,2.53,3.27,3.14,3.64,1.72,3.28
e_0,18.1,15.47,13.65,15.39,14.16,14.13,4.95,4.58,4.3,4.98,3.65,2.29,3.34,3.4,4.26,1.69
