,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.49,0.78,0.45,0.43,0.41,0.32,0.5,0.47,0.48,0.45,0.56,0.25,0.55,0.3,0.45,0.54
e_1,0.43,1.51,0.47,0.51,0.36,0.37,0.58,0.56,0.5,0.92,0.62,0.61,0.57,0.32,0.47,0.54
d_1,0.52,0.43,1.51,0.43,0.51,0.38,0.53,0.4,1.01,0.23,0.55,0.52,0.5,0.52,0.38,0.41
c_1,0.52,0.46,0.45,1.58,0.74,0.37,0.53,0.54,0.26,0.48,0.52,0.51,0.58,0.49,0.41,0.51
b_1,0.55,0.48,0.52,0.36,1.59,0.61,0.54,0.55,0.5,0.61,0.32,0.63,0.6,0.47,0.4,0.5
a_1,0.61,0.41,0.52,0.55,0.37,1.79,0.65,0.49,0.73,0.64,0.66,0.52,0.69,0.56,,0.61
h_1,0.91,0.67,0.78,0.76,0.69,0.56,1.66,0.84,0.69,0.77,0.71,1.0,0.61,0.58,0.81,1.13
g_1,0.79,0.65,1.18,0.65,0.64,0.51,0.83,1.75,0.68,0.6,0.87,1.23,0.77,0.69,0.77,0.52
c_0,0.95,0.87,0.67,0.42,0.74,0.51,0.99,0.94,1.5,0.94,1.46,0.98,1.01,0.8,0.9,1.03
d_0,0.93,0.63,0.55,1.28,0.7,0.59,0.93,0.96,0.72,1.51,0.86,0.79,0.98,0.96,0.77,0.94
b_0,0.8,0.87,0.81,0.83,0.45,0.49,1.12,0.87,0.75,1.1,1.51,0.96,1.17,0.86,1.44,0.81
f_0,0.5,0.67,0.97,0.85,0.75,0.56,0.74,0.74,0.94,1.04,0.93,1.58,1.2,1.5,0.86,0.9
h_0,1.08,0.91,0.91,0.82,0.55,0.51,0.53,1.1,0.91,0.88,0.87,0.84,0.6,0.62,0.87,1.04
e_0,1.21,0.42,0.9,0.74,0.77,0.69,1.33,0.84,1.12,0.78,0.93,0.64,1.33,1.72,0.94,0.96
a_0,0.89,0.71,1.0,0.79,0.81,,0.91,0.95,1.1,0.89,0.87,0.89,1.07,0.96,1.66,1.21
g_0,0.6,0.82,1.23,0.87,0.77,0.66,0.79,0.68,0.98,0.81,1.01,1.28,1.05,0.83,0.86,0.65
