,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,2.36,1.78,2.07,2.0,1.66,0.83,0.71,0.76,1.15,0.84,1.63,0.64,0.5,0.66,0.68
e_1,1.33,0.66,2.33,2.11,2.03,2.56,0.9,0.79,0.87,1.05,0.8,0.93,0.82,0.62,1.66,0.69
d_1,2.65,2.29,0.64,2.07,1.86,1.89,1.11,0.82,1.63,0.63,0.73,0.8,0.75,0.6,0.82,0.47
c_1,2.27,2.2,2.67,0.64,2.72,1.8,0.89,1.44,0.48,0.85,0.69,0.72,0.83,0.62,0.76,0.48
b_1,2.15,2.41,2.36,1.33,0.63,2.73,1.28,0.89,0.87,1.13,2.18,0.7,0.68,0.79,0.62,0.77
a_1,3.08,2.46,2.8,3.03,1.51,0.58,1.28,1.02,1.09,1.04,0.95,0.83,1.49,0.7,1.04,0.74
h_1,2.79,2.52,2.44,2.91,2.75,2.17,0.6,1.02,1.03,1.6,0.97,0.91,0.83,1.42,0.78,0.72
c_0,3.12,3.07,1.63,5.48,2.99,2.72,1.22,0.68,1.3,1.29,1.28,0.94,1.05,0.81,0.86,0.81
d_0,3.33,1.64,5.96,3.58,2.7,2.72,1.27,1.13,0.68,1.41,1.13,1.22,0.85,0.78,1.14,0.96
g_1,2.68,2.56,3.53,3.18,2.73,2.72,0.99,1.0,1.11,0.57,1.03,1.14,1.0,0.77,0.91,1.21
b_0,2.54,2.72,2.54,3.83,6.03,2.75,1.16,0.67,1.16,1.41,0.65,1.11,1.33,0.82,0.92,0.81
f_0,4.95,2.74,2.95,2.71,3.72,3.02,1.31,1.33,1.11,0.95,1.06,0.64,1.08,0.96,1.18,0.63
a_0,3.95,3.17,3.09,3.39,4.18,6.49,1.32,0.96,1.62,1.26,0.71,1.23,0.62,1.08,1.24,1.13
h_0,4.47,3.09,3.05,4.34,3.24,2.74,2.02,1.23,1.46,1.42,1.27,1.18,1.01,1.54,0.97,1.22
e_0,4.8,6.72,3.1,3.28,3.28,2.84,1.59,1.28,1.23,1.55,1.46,0.67,1.28,0.95,0.58,0.99
g_0,4.14,3.72,3.36,5.36,3.18,3.21,1.46,1.24,1.44,2.34,1.33,1.28,1.13,0.88,1.09,1.62
