,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.98,1.54,1.17,1.73,3.29,19.99,25.19,24.5,27.02,36.53,,58.62,63.48,65.27,106.65
d_1,1.02,1.0,1.24,1.0,1.39,3.29,29.23,21.65,36.99,,39.77,40.27,59.61,64.83,78.49,70.41
e_1,0.65,0.8,1.0,1.25,1.26,,18.28,24.46,26.45,36.52,28.39,45.21,56.58,52.72,,91.89
c_1,0.85,1.0,0.8,1.0,1.67,1.97,17.98,20.32,,16.8,33.73,30.25,60.07,45.8,59.41,96.97
b_1,0.58,0.72,0.79,0.6,1.0,2.83,16.72,16.59,19.19,18.38,,22.11,41.25,53.87,59.76,82.53
a_1,0.3,0.3,,0.51,0.35,1.0,7.92,7.91,10.66,6.17,10.07,15.57,23.7,,21.31,
h_1,0.05,0.03,0.05,0.06,0.06,0.13,1.0,1.66,1.34,1.04,1.27,2.41,,3.04,2.78,6.71
g_1,0.04,0.05,0.04,0.05,0.06,0.13,0.6,1.0,0.94,1.17,1.3,1.83,2.01,2.26,2.43,
c_0,0.04,0.03,0.04,,0.05,0.09,0.75,1.06,1.0,1.15,1.52,1.74,2.55,2.15,2.26,3.53
d_0,0.04,,0.03,0.06,0.05,0.16,0.96,0.86,0.87,1.0,1.62,1.19,1.99,2.67,1.86,3.47
b_0,0.03,0.03,0.04,0.03,,0.1,0.79,0.77,0.66,0.62,1.0,0.87,2.17,3.19,1.79,2.34
f_0,,0.02,0.02,0.03,0.05,0.06,0.41,0.55,0.57,0.84,1.15,1.0,1.78,1.87,3.71,2.24
h_0,0.02,0.02,0.02,0.02,0.02,0.04,,0.5,0.39,0.5,0.46,0.56,,0.78,1.14,2.31
a_0,0.02,0.02,0.02,0.02,0.02,,0.33,0.44,0.47,0.38,0.31,0.54,1.28,1.0,,1.64
e_0,0.02,0.01,,0.02,0.02,0.05,0.36,0.41,0.44,0.54,0.56,0.27,0.87,,1.0,1.26
g_0,0.01,0.01,0.01,0.01,0.01,,0.15,,0.28,0.29,0.43,0.45,0.43,0.61,0.79,
