,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.88,0.87,0.77,0.79,0.72,0.18,0.13,0.16,0.15,0.41,0.15,0.09,0.13,0.14,0.07
f_1,0.68,0.16,0.7,0.93,0.69,0.76,0.17,0.28,0.16,0.14,0.19,0.24,0.1,0.15,0.15,0.13
e_1,0.94,0.42,0.16,0.82,0.84,0.67,0.29,0.28,0.19,0.17,0.16,0.21,0.13,0.21,0.59,0.16
c_1,0.99,0.87,0.59,0.15,0.87,0.72,0.21,0.22,0.33,0.15,0.07,0.14,0.11,0.16,0.12,0.12
b_1,0.76,0.88,0.75,0.39,0.13,1.23,0.24,0.24,0.19,0.36,0.19,0.13,0.12,0.17,0.16,0.1
a_1,0.8,0.7,0.89,1.0,0.39,0.1,0.3,0.26,0.16,0.22,0.22,0.19,0.15,0.52,0.18,0.12
h_1,0.64,0.6,0.61,0.66,0.62,0.51,0.06,0.18,0.13,0.12,0.12,0.14,0.13,0.12,0.13,0.08
g_1,0.55,0.76,0.72,0.6,0.74,0.6,0.13,0.05,0.13,0.12,0.13,0.13,0.07,0.13,0.11,0.14
c_0,0.3,0.78,0.73,1.42,0.64,0.65,0.2,0.17,0.07,0.13,0.16,0.15,0.1,0.15,0.14,0.09
b_0,0.51,0.62,0.66,0.85,1.21,0.49,0.18,0.2,0.07,0.06,0.14,0.12,0.09,0.1,0.11,0.09
d_0,1.29,0.64,0.32,0.58,0.84,0.55,0.24,0.24,0.13,0.13,0.06,0.13,0.1,0.12,0.16,0.1
f_0,0.53,1.68,0.65,0.54,0.58,0.73,0.19,0.11,0.11,0.12,0.12,0.05,0.08,0.11,0.13,0.05
h_0,0.56,0.73,0.58,0.66,0.63,0.44,0.32,0.15,0.11,0.11,0.12,0.11,0.14,0.1,0.1,0.1
a_0,0.57,0.64,0.61,0.61,0.67,0.94,0.17,0.19,0.1,0.07,0.11,0.15,0.09,0.04,0.1,0.11
e_0,0.47,0.79,1.44,0.69,0.61,0.49,0.16,0.16,0.12,0.11,0.11,0.05,0.07,0.12,0.04,0.08
g_0,0.51,0.73,0.69,0.7,0.54,0.62,0.11,0.33,0.12,0.15,0.12,0.11,0.07,0.1,0.11,0.12
