,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.9,0.8,1.19,0.95,0.73,0.52,0.45,0.41,0.6,0.45,0.39,0.36,0.35,0.34,0.33
d_1,1.08,1.0,1.02,0.91,0.91,0.72,0.52,0.38,0.53,0.4,0.41,0.39,0.34,0.36,0.34,0.27
f_1,1.25,0.97,1.0,0.9,0.87,0.71,0.44,0.49,0.4,0.42,0.38,0.37,0.29,0.34,0.26,0.35
c_1,0.84,1.13,1.08,1.0,1.28,0.86,0.52,0.5,0.44,0.32,0.4,0.33,0.38,0.3,0.35,0.33
b_1,1.07,1.1,1.17,0.78,1.0,1.12,0.58,0.52,0.46,0.44,0.4,0.4,0.39,0.32,0.39,0.35
a_1,1.38,1.4,1.42,1.18,0.88,1.0,0.71,0.64,0.59,0.6,0.53,0.65,0.44,0.5,0.48,0.41
h_1,1.84,2.0,2.24,1.92,1.71,1.35,1.0,0.95,0.79,0.81,0.77,0.8,0.7,0.59,0.6,0.74
g_1,2.15,2.49,2.15,2.03,1.93,1.61,1.04,1.0,0.95,0.9,0.96,0.89,0.64,0.7,0.75,0.77
c_0,2.45,1.97,2.4,2.41,2.3,1.63,1.24,1.02,1.0,1.25,0.97,1.21,0.89,0.94,0.79,0.76
d_0,1.73,2.45,2.24,3.13,2.3,1.6,1.24,1.08,0.78,1.0,0.91,0.93,0.85,0.75,0.77,0.86
f_0,2.23,2.44,2.84,2.38,2.51,1.82,1.3,1.04,1.05,1.08,1.0,0.98,0.92,0.77,1.13,0.72
b_0,2.38,2.58,2.68,3.14,2.38,1.59,1.26,1.08,0.83,1.08,1.02,1.0,0.94,1.19,0.86,0.83
h_0,2.79,2.98,3.3,2.71,2.49,2.24,1.43,1.54,1.13,1.25,1.08,1.06,1.0,0.96,0.9,1.11
a_0,2.94,2.86,3.02,3.24,2.94,2.1,1.61,1.36,1.14,1.27,1.2,0.88,1.15,1.01,1.12,1.1
e_0,2.91,3.07,3.6,2.85,2.46,2.11,1.63,1.36,1.29,1.21,0.9,1.21,1.13,0.97,1.0,0.96
g_0,2.85,3.56,2.98,3.03,2.74,2.47,1.31,1.36,1.32,1.24,1.41,1.19,0.93,0.9,1.08,1.0
