,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.62,2.72,1.73,1.4,1.24,1.25,5.29,6.37,4.51,6.74,6.71,3.03,9.17,5.0,7.47,7.47
e_1,1.87,5.71,1.68,1.23,1.45,1.36,5.47,13.49,6.41,7.04,9.07,8.18,12.01,3.91,10.02,10.33
c_1,1.4,1.47,6.4,1.57,2.92,1.48,5.05,5.91,5.42,2.34,4.82,6.41,9.19,6.84,6.02,11.03
d_1,1.66,1.6,1.15,7.24,1.31,1.21,6.5,3.18,5.42,15.12,8.81,7.13,12.15,8.79,7.66,12.15
b_1,1.4,1.36,1.47,1.59,7.59,3.36,4.5,7.06,4.45,6.26,2.8,8.13,11.95,8.71,5.46,11.18
a_1,1.78,1.43,1.51,1.75,1.31,10.41,5.54,6.87,5.23,5.94,8.02,7.57,12.57,9.34,4.69,11.19
h_1,2.5,1.69,1.83,1.82,1.85,1.62,16.3,7.44,8.88,9.18,8.59,8.8,7.3,11.69,8.13,16.93
d_0,2.07,1.54,3.6,1.0,1.89,1.49,7.36,15.36,7.52,6.14,8.38,7.76,13.63,11.07,10.26,14.56
g_1,1.82,1.34,1.83,3.02,1.81,1.74,6.88,7.68,21.1,9.64,9.54,13.66,11.82,10.93,8.52,9.55
c_0,2.25,1.87,1.52,2.13,1.24,1.71,7.02,8.24,7.16,18.03,19.04,10.37,13.6,9.32,11.62,13.48
b_0,2.32,1.87,1.84,2.08,1.29,1.4,7.96,8.83,7.24,8.51,20.05,9.29,12.09,10.08,20.0,14.31
f_0,1.35,1.4,2.25,2.07,2.04,2.28,7.32,9.88,7.7,8.48,9.83,21.27,14.09,21.94,7.61,16.29
h_0,2.37,1.78,2.08,1.97,2.06,1.84,4.22,7.85,9.36,9.51,9.16,8.57,9.25,11.32,7.86,20.81
e_0,2.15,0.82,2.67,1.85,2.16,2.21,8.12,7.68,6.92,9.32,8.21,10.65,14.87,26.16,8.15,16.24
a_0,2.04,1.9,2.25,1.71,1.99,0.98,7.21,8.88,8.31,8.66,9.44,9.98,15.21,11.23,26.19,17.89
g_0,1.56,1.4,2.05,2.97,2.05,1.62,7.32,7.33,5.36,8.44,8.82,15.54,12.17,11.66,7.37,9.92
