,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,7.13,5.53,5.22,4.86,4.25,1.87,1.66,2.95,1.94,3.0,,1.33,1.63,1.79,1.65
e_1,3.76,0.67,5.71,5.87,4.0,6.13,2.97,2.0,2.95,2.52,1.61,2.05,1.51,2.48,,1.89
d_1,6.72,5.34,0.66,5.49,5.61,4.88,2.22,,1.9,2.91,1.97,1.77,2.0,2.15,2.08,1.0
c_1,5.37,5.99,7.06,0.65,5.97,6.83,3.22,1.24,2.01,,2.46,2.34,2.3,1.88,2.38,1.45
b_1,7.07,7.08,6.98,4.78,0.62,,3.31,2.87,2.45,2.14,,1.42,1.57,,,1.17
a_1,12.45,6.28,6.22,6.1,,0.57,2.71,3.66,,3.82,3.12,3.04,1.68,,,2.32
h_1,4.77,4.63,5.24,4.45,4.47,6.35,0.62,1.96,3.49,1.49,1.46,1.7,,1.2,1.38,1.73
d_0,4.67,3.57,,4.89,4.35,3.53,2.13,0.72,1.9,2.06,1.8,1.45,1.19,1.66,1.21,1.64
g_1,4.5,5.13,6.46,8.21,5.12,,1.51,2.8,0.58,2.01,1.71,2.2,1.58,1.6,1.63,
c_0,5.39,4.16,2.84,,6.14,3.58,2.15,2.05,2.13,0.69,1.93,1.63,1.37,1.61,1.57,2.0
b_0,4.32,7.43,5.05,5.36,,4.85,2.84,2.09,1.89,1.26,0.68,1.9,1.36,2.24,2.01,1.16
f_0,,5.68,5.62,4.69,7.22,3.99,3.06,2.27,1.62,2.14,1.56,0.67,1.72,1.6,1.93,1.0
h_0,4.57,5.45,4.57,3.38,5.55,4.08,,1.78,2.18,1.43,1.51,1.67,,1.99,1.6,1.62
a_0,8.45,5.93,4.68,6.56,,,3.09,2.3,2.79,2.14,1.28,2.36,1.37,0.61,,1.41
e_0,7.53,,5.73,6.59,,,2.5,2.39,2.35,2.09,1.76,1.18,1.43,,0.61,
g_0,6.36,4.91,6.93,6.51,6.06,3.61,1.66,1.54,,1.41,2.46,2.25,1.39,1.74,,
