,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.76,0.99,1.28,1.71,4.06,25.06,30.72,36.35,41.65,40.78,49.16,71.13,120.86,107.3,
f_1,1.32,1.0,1.14,1.12,1.38,2.61,14.0,23.78,24.06,26.52,39.36,,60.54,70.68,113.75,71.71
d_1,1.01,0.88,1.0,0.88,1.21,2.68,18.83,,22.16,44.92,42.42,36.06,68.51,67.18,68.83,82.22
c_1,0.78,0.89,1.14,1.0,1.56,3.11,23.21,15.54,31.15,,28.89,35.37,60.66,86.48,78.62,80.6
b_1,0.59,0.72,0.83,0.64,1.0,2.72,16.17,15.15,22.52,27.2,,33.64,45.0,64.57,79.95,
a_1,0.25,0.38,0.37,0.32,0.37,1.0,5.65,8.2,,11.4,14.19,16.68,29.24,,27.47,37.56
h_1,0.04,0.07,0.05,0.04,0.06,0.18,1.0,1.44,2.23,1.34,1.71,1.98,,4.5,8.04,6.34
d_0,0.03,0.04,,0.06,0.07,0.12,0.69,1.0,0.98,1.07,2.18,1.61,3.15,3.1,3.42,5.06
g_1,0.03,0.04,0.05,0.03,0.04,,0.45,1.02,1.0,1.18,1.59,1.62,1.71,2.13,,3.56
c_0,0.02,0.04,0.02,,0.04,0.09,0.74,0.94,0.85,1.0,1.71,1.42,2.55,2.23,2.95,2.76
b_0,0.02,0.03,0.02,0.03,,0.07,0.58,0.46,0.63,0.58,1.0,1.31,1.58,3.18,1.91,1.98
f_0,0.02,,0.03,0.03,0.03,0.06,0.5,0.62,0.62,0.7,0.76,1.0,2.2,1.88,2.03,
h_0,0.01,0.02,0.01,0.02,0.02,0.03,,0.32,0.58,0.39,0.63,0.45,,1.14,1.39,1.73
a_0,0.01,0.01,0.01,0.01,0.02,,0.22,0.32,0.47,0.45,0.31,0.53,0.88,1.0,,
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.12,0.29,,0.34,0.52,0.49,0.72,,,
e_0,,0.01,0.01,0.01,,0.03,0.16,0.2,0.28,0.36,0.51,,0.58,,,1.0
