,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.93,0.81,0.64,0.92,0.74,0.73,0.9,1.7,0.97,0.88,1.12,1.07,0.85,1.01,0.65,1.09
f_1,1.23,2.07,0.75,0.75,0.57,0.61,0.88,0.89,0.92,0.92,0.92,0.49,0.97,0.98,0.64,0.79
d_1,0.76,0.78,2.3,0.59,0.64,0.65,1.1,0.57,1.0,1.75,1.13,1.06,1.12,1.0,1.18,1.09
c_1,0.7,0.68,0.74,2.24,1.38,0.73,0.91,0.86,0.79,0.49,0.66,0.98,0.9,0.97,0.93,1.04
b_1,0.64,0.76,0.78,0.78,2.51,1.46,0.85,0.92,0.89,0.8,0.59,0.91,0.73,0.94,1.14,0.79
a_1,0.75,0.89,0.75,0.82,0.77,3.59,1.01,0.79,0.88,0.96,1.02,1.03,0.6,0.93,1.01,0.85
h_1,0.91,1.17,0.85,0.76,0.77,0.63,2.05,0.89,1.26,0.91,1.03,0.94,1.11,0.83,1.12,1.42
d_0,0.72,0.82,0.56,1.55,0.86,0.75,0.9,1.68,1.03,0.7,1.1,1.09,1.14,1.09,0.98,0.87
g_1,0.71,0.7,1.31,0.84,0.77,0.65,1.09,0.83,2.54,1.16,1.11,1.66,1.18,1.07,1.36,0.9
c_0,0.83,0.94,1.0,0.72,0.53,0.69,1.12,1.06,1.12,1.8,2.17,1.25,1.49,1.16,1.14,1.18
b_0,0.82,0.96,0.87,0.89,0.62,0.54,1.22,1.07,1.24,1.13,1.9,1.17,2.29,1.22,1.24,1.14
f_0,0.64,0.62,1.01,0.92,0.95,0.79,1.14,1.09,1.11,1.05,1.27,2.02,1.2,1.15,2.3,1.37
a_0,0.94,0.87,0.88,0.86,0.79,0.64,1.14,1.04,0.99,0.99,1.0,1.2,2.38,1.18,1.18,0.99
h_0,0.82,1.11,1.01,0.8,0.75,0.62,0.76,0.96,1.44,1.08,1.03,1.09,1.12,0.92,1.11,1.56
e_0,0.6,0.97,1.0,0.89,0.82,1.04,0.96,0.87,1.01,1.1,1.3,1.18,1.17,1.35,2.22,1.22
g_0,0.72,0.75,1.34,0.78,0.9,0.67,1.03,0.82,0.79,1.03,0.98,1.71,0.99,1.11,1.41,0.83
