,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,1.2,0.73,0.75,0.63,0.5,0.72,0.83,0.77,0.67,0.75,0.58,0.85,0.65,0.78,0.5
e_1,0.66,1.52,0.67,0.82,0.77,0.66,0.81,0.75,1.49,0.87,0.93,0.91,0.82,0.73,0.89,0.54
d_1,0.86,0.69,1.56,0.68,0.68,0.59,0.96,0.76,0.61,1.34,1.04,0.84,1.02,0.77,0.75,0.78
c_1,0.83,0.74,0.69,1.57,1.1,0.61,0.89,0.72,0.7,0.6,0.62,0.89,0.9,0.85,0.77,0.66
b_1,0.83,0.75,0.71,0.68,1.62,1.09,0.96,0.76,0.91,0.87,0.54,0.74,1.1,0.59,0.97,0.76
a_1,1.01,0.75,0.91,0.76,0.64,1.74,0.99,0.94,0.93,1.03,1.0,0.91,1.26,0.65,0.89,0.75
h_1,1.38,0.96,1.02,0.96,0.78,0.64,1.75,1.37,1.2,1.13,1.1,0.94,0.91,0.94,1.5,0.95
g_1,0.99,0.99,1.39,1.02,0.89,0.78,1.06,1.81,1.12,1.13,1.09,1.47,1.13,1.05,0.94,0.97
d_0,1.14,0.83,0.79,1.73,0.87,0.82,1.15,0.94,1.65,0.89,1.27,0.98,1.22,1.02,1.17,1.26
c_0,1.29,0.94,1.06,0.85,0.68,0.73,1.26,1.24,1.21,1.67,2.0,1.0,1.51,1.24,1.4,1.27
b_0,1.24,0.97,1.08,1.2,0.71,0.73,1.34,1.31,1.2,1.04,1.72,1.04,1.3,1.82,1.23,1.08
f_0,0.88,0.81,1.26,1.09,0.99,0.89,1.3,0.94,1.33,1.55,1.33,1.75,1.31,1.11,1.24,1.92
h_0,1.51,1.1,1.12,1.06,0.92,0.75,0.95,1.43,1.17,1.07,1.24,1.11,1.15,1.05,1.58,0.92
a_0,1.44,0.96,1.17,1.03,1.01,0.61,1.41,1.15,1.23,1.07,1.1,1.25,1.49,1.78,1.32,1.24
g_0,1.05,0.93,1.61,1.11,0.95,0.83,0.98,1.0,1.27,1.17,1.4,1.79,1.28,1.15,1.17,1.18
e_0,1.62,0.97,1.02,1.29,0.87,0.86,1.37,1.24,1.26,1.17,1.44,0.95,1.78,1.34,1.4,1.83
