,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.36,1.07,0.9,1.37,1.26,1.05,2.1,4.04,2.44,2.35,2.68,2.93,3.7,3.02,1.91,2.93
f_1,1.68,2.43,1.04,1.19,0.89,0.97,2.25,2.24,2.46,1.98,2.6,1.55,2.5,2.31,2.2,3.53
d_1,1.24,1.22,2.56,0.85,1.17,1.14,2.1,1.18,3.77,1.95,2.41,2.49,3.1,2.71,2.3,2.72
c_1,1.03,1.0,1.23,2.65,1.91,1.02,1.88,2.0,0.98,1.92,2.25,2.25,2.96,1.97,2.73,2.82
b_1,0.91,1.29,1.11,1.04,2.82,1.92,2.1,2.65,2.53,2.72,2.05,2.55,3.05,2.46,2.63,2.65
a_1,1.19,1.39,1.17,1.22,0.82,3.22,2.6,2.74,2.04,1.59,2.41,2.26,2.99,1.71,2.92,3.56
h_1,1.17,1.54,1.37,1.16,1.14,1.01,3.99,2.59,2.67,2.87,2.92,2.65,2.32,2.74,2.08,3.86
d_0,1.08,1.3,1.03,1.99,1.33,1.17,2.12,3.73,2.17,2.44,2.44,2.75,3.76,2.65,2.67,3.37
c_0,1.3,1.44,1.25,1.0,0.98,1.51,2.82,2.36,3.87,2.39,4.11,2.87,3.31,3.01,3.06,3.45
g_1,0.95,1.08,2.02,1.24,0.95,1.4,2.27,2.32,2.51,4.49,2.55,3.74,2.91,2.2,3.15,2.53
b_0,1.23,1.31,1.36,1.27,0.79,1.2,2.54,2.89,2.49,2.52,4.02,2.96,3.63,4.81,3.03,3.67
f_0,0.99,0.96,1.45,1.51,1.15,1.42,2.59,2.81,2.9,2.54,2.84,4.28,4.03,2.99,5.02,3.33
h_0,1.14,1.68,1.23,1.39,1.22,1.17,2.21,2.84,2.83,3.27,2.52,2.78,2.55,2.5,2.89,3.86
a_0,1.18,1.47,1.39,1.4,1.17,0.63,2.7,2.57,2.66,3.08,2.14,3.27,3.63,4.93,2.79,3.59
e_0,0.65,1.41,1.53,1.18,1.39,1.3,3.07,2.66,2.76,2.57,3.35,2.72,3.84,3.0,5.13,3.74
g_0,1.12,1.0,1.76,1.2,1.38,1.05,2.28,2.27,2.79,2.06,2.83,3.85,2.93,3.37,3.08,2.72
