,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.62,0.58,0.56,0.56,0.52,0.26,0.27,0.32,0.26,0.26,0.29,0.18,0.25,0.27,0.25
e_1,0.45,0.4,0.66,0.59,0.65,0.62,0.32,0.34,0.35,0.27,0.26,0.34,0.21,0.27,0.34,0.25
c_1,0.6,0.5,0.39,0.66,0.66,0.58,0.32,0.19,0.3,0.28,0.24,0.25,0.25,0.26,0.22,0.22
d_1,0.66,0.64,0.58,0.38,0.56,0.53,0.3,0.31,0.24,0.29,0.28,0.26,0.21,0.27,0.23,0.16
b_1,0.64,0.6,0.41,0.65,0.36,0.72,0.34,0.26,0.31,0.31,0.32,0.26,0.25,0.24,0.25,0.21
a_1,0.75,0.6,0.61,0.61,0.37,0.3,0.36,0.29,0.35,0.32,0.36,0.28,0.25,0.32,0.27,0.24
h_1,0.58,0.55,0.6,0.56,0.54,0.48,0.24,0.28,0.3,0.25,0.25,0.23,0.24,0.25,0.26,0.23
d_0,0.53,0.39,0.73,0.63,0.62,0.58,0.31,0.23,0.37,0.24,0.26,0.25,0.24,0.27,0.31,0.22
g_1,0.61,0.53,0.59,0.6,0.56,0.49,0.27,0.24,0.21,0.26,0.25,0.25,0.18,0.27,0.22,0.25
c_0,0.58,0.57,0.77,0.39,0.58,0.55,0.3,0.33,0.29,0.22,0.31,0.29,0.26,0.29,0.25,0.22
b_0,0.57,0.56,0.71,0.47,0.66,0.49,0.3,0.26,0.29,0.16,0.21,0.26,0.23,0.34,0.26,0.21
f_0,0.64,0.51,0.58,0.6,0.53,0.54,0.32,0.26,0.22,0.25,0.23,0.2,0.23,0.28,0.32,0.15
h_0,0.66,0.57,0.52,0.55,0.52,0.54,0.33,0.24,0.3,0.23,0.25,0.22,0.25,0.23,0.23,0.22
a_0,0.56,0.57,0.63,0.55,0.62,0.59,0.29,0.24,0.27,0.2,0.16,0.22,0.24,0.19,0.23,0.22
e_0,0.6,0.57,0.68,0.6,0.57,0.47,0.27,0.22,0.28,0.24,0.24,0.14,0.22,0.26,0.19,0.17
g_0,0.54,0.56,0.58,0.62,0.57,0.51,0.25,0.27,0.32,0.27,0.28,0.29,0.2,0.25,0.27,0.24
