,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.67,0.08,0.06,0.1,0.08,0.06,0.3,0.36,0.37,0.64,0.36,0.38,0.42,0.39,,0.42
f_1,0.13,5.79,0.07,0.1,0.07,0.05,0.33,0.16,0.29,0.39,0.42,,0.64,0.42,0.51,0.49
d_1,0.06,0.08,6.17,0.06,0.09,0.08,0.27,0.32,0.7,,0.38,0.31,0.88,0.37,0.34,0.5
c_1,0.07,0.08,0.08,6.84,0.15,0.08,0.27,0.25,,0.39,0.22,0.44,0.55,0.47,0.42,0.74
b_1,0.07,0.09,0.09,0.06,7.41,0.12,0.39,0.27,0.32,0.31,,0.48,0.72,,0.34,0.65
a_1,0.08,0.07,0.05,0.07,0.08,10.29,0.37,0.2,0.46,0.4,0.27,0.33,0.67,,0.43,0.77
h_1,0.29,0.39,0.28,0.28,0.18,0.3,13.95,1.87,1.77,1.45,1.53,1.0,,1.39,1.02,2.46
g_1,0.24,0.24,0.5,0.35,0.18,0.25,1.16,17.14,1.5,1.2,1.21,2.46,2.2,1.03,1.16,
c_0,0.35,0.37,0.42,,0.3,0.46,1.56,1.29,11.92,1.87,3.78,1.88,2.95,1.62,2.24,2.55
d_0,0.4,0.4,,0.59,0.35,0.31,1.7,0.94,1.43,12.83,2.18,2.19,2.53,1.82,2.89,2.91
b_0,0.36,0.37,0.36,0.33,,0.34,1.62,1.43,1.86,2.0,12.47,2.16,2.76,4.43,2.17,3.06
f_0,0.34,,0.43,0.38,0.49,0.52,1.39,1.64,1.87,1.75,2.61,15.08,3.66,1.31,2.56,2.67
h_0,0.68,0.84,0.51,0.57,0.51,0.73,,2.71,3.12,2.35,2.29,2.37,,1.92,2.67,6.8
a_0,0.38,0.42,0.48,0.3,0.58,,0.97,1.54,1.8,2.01,1.83,2.51,2.96,19.55,,
e_0,,0.47,0.34,0.47,0.43,,1.73,1.64,1.73,2.27,1.96,2.16,2.84,,21.9,2.58
g_0,0.69,0.35,0.84,0.65,0.5,0.38,1.4,,3.72,2.91,3.52,3.8,3.66,3.17,2.19,
