,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,7.3,13.72,15.62,12.15,12.01,3.64,3.75,3.26,2.2,2.49,3.42,2.77,2.02,,1.62
f_1,10.87,0.16,14.5,13.76,12.43,13.91,2.7,3.67,2.87,3.01,2.53,,2.64,1.08,2.49,2.31
c_1,14.53,10.45,0.16,13.74,11.32,11.84,5.91,3.3,1.29,3.49,,3.01,2.55,1.62,2.66,1.96
d_1,14.67,13.76,12.17,0.15,19.86,13.81,2.68,2.26,,2.37,3.54,2.44,,1.8,3.31,1.05
b_1,12.5,12.06,8.02,12.58,0.14,14.56,3.01,5.84,2.31,,3.35,1.73,3.55,1.53,2.8,2.97
a_1,9.61,15.3,15.58,12.09,8.19,0.11,3.82,3.7,2.75,3.71,2.98,3.28,,1.79,,1.52
h_1,4.12,3.74,3.12,2.97,3.55,2.47,0.07,0.88,0.92,0.49,0.58,0.75,0.81,,0.57,0.55
g_1,3.38,3.82,3.3,2.92,4.09,3.49,0.66,0.06,0.7,1.09,0.68,0.64,,0.37,0.72,
d_0,1.44,2.35,2.28,,2.91,2.33,0.82,0.9,0.08,0.81,0.41,0.51,0.46,0.35,0.94,0.48
b_0,3.42,2.58,3.23,1.78,,3.3,0.87,0.69,0.43,0.08,0.32,0.56,0.7,0.41,0.39,0.32
c_0,2.86,2.1,,1.25,2.1,2.98,0.89,0.71,0.63,0.46,0.08,0.6,0.41,0.36,0.74,0.39
f_0,3.73,,1.9,3.08,3.37,2.59,0.75,0.39,0.67,0.45,0.66,0.06,0.58,0.54,0.37,0.24
a_0,2.55,4.83,2.81,,3.11,,0.69,,0.67,0.26,0.41,0.62,0.05,0.3,,0.25
h_0,2.73,1.5,1.72,2.35,1.53,1.63,,0.43,0.27,0.4,0.29,0.42,0.25,,0.22,0.21
e_0,,4.36,3.37,1.98,2.99,,0.44,0.67,0.54,0.44,0.39,0.31,,0.4,0.05,0.42
g_0,1.3,3.24,1.74,3.29,1.19,1.88,0.34,,0.42,0.35,0.45,0.28,0.3,0.19,0.39,
