,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,23.76,0.33,0.25,0.37,0.39,0.37,0.81,1.36,0.76,0.87,0.74,0.76,0.89,1.1,0.76,0.24
f_1,0.78,25.85,0.35,0.32,0.29,0.22,0.55,0.78,0.53,0.74,0.78,0.15,0.87,0.69,0.88,0.43
d_1,0.31,0.38,27.39,0.26,0.35,0.38,0.83,0.2,0.66,1.58,1.02,0.92,0.88,0.73,0.94,0.78
c_1,0.29,0.32,0.34,26.95,0.63,0.39,0.73,0.8,0.76,0.15,0.6,0.71,0.9,0.65,0.82,0.95
b_1,0.3,0.29,0.4,0.35,29.4,0.75,0.79,0.68,0.69,0.74,0.18,0.88,0.77,0.54,0.81,0.88
a_1,0.27,0.33,0.36,0.37,0.41,45.67,0.64,0.83,0.67,0.98,0.89,1.0,0.81,0.15,0.58,0.93
h_1,0.52,0.97,0.67,0.57,0.51,0.63,10.16,1.67,1.93,1.14,1.16,1.33,0.64,1.68,2.9,1.63
d_0,0.6,0.69,0.14,1.62,0.62,0.68,1.11,5.08,0.99,1.18,1.69,1.42,1.89,1.23,1.37,1.66
g_1,0.42,0.64,1.22,0.57,0.54,0.35,1.25,1.33,13.39,1.33,1.58,2.73,1.37,1.59,0.73,2.0
c_0,0.57,0.93,0.69,0.33,0.58,0.78,1.65,1.75,1.41,5.47,3.57,1.52,1.82,1.6,1.62,1.5
b_0,0.71,0.77,0.56,0.81,0.21,0.37,1.6,1.58,1.46,1.31,7.44,1.93,2.2,4.37,1.57,1.4
f_0,0.57,0.23,0.89,0.87,0.63,0.54,1.63,1.52,1.77,1.53,1.59,6.79,1.81,1.67,2.4,3.51
h_0,0.7,1.0,0.6,0.83,0.6,0.43,0.51,1.34,1.77,1.21,1.7,1.24,0.45,1.56,1.66,1.91
a_0,0.56,0.81,0.75,0.69,0.45,,1.68,1.85,2.07,1.45,1.43,2.32,2.61,9.47,2.13,1.95
g_0,0.48,0.56,1.35,0.66,0.64,0.54,1.0,1.43,0.57,1.28,1.5,2.77,1.62,1.26,0.85,1.59
e_0,0.16,1.06,0.96,0.89,0.38,0.61,1.32,1.36,1.2,1.77,2.26,1.4,1.74,1.72,1.66,10.39
