,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9759.1,4441.33,7451.24,6083.36,9462.35,64702.22,4771125.48,10459086.09,24769472.14,35821575.01,49822602.4,47835232.83,110314573.45,224184744.05,175903921.96,573940223.43
f_1,6020.07,11898.32,6279.79,6698.23,7894.52,53564.91,4368127.59,10374892.68,14148617.89,34798573.77,33160862.16,44784906.45,116159770.03,220414826.94,154726676.09,492372337.61
c_1,3747.17,4367.35,18473.91,6599.41,14589.2,66397.64,4375745.65,10374023.33,13421280.02,26141159.75,47185646.34,40429907.84,105358860.17,228248657.3,256577228.87,491314835.24
d_1,3664.0,4722.7,4760.5,23087.69,7538.18,69276.28,4476516.2,12024873.98,8275952.77,78530788.95,52119592.54,62808571.27,155575868.7,251314753.63,306957493.85,568595362.95
b_1,3275.62,4092.46,6815.27,7578.78,27506.69,144367.74,4215273.73,8809205.39,14862708.6,39575869.0,46314922.98,35275105.82,88489682.22,215901932.9,246722026.32,573394424.98
a_1,3317.07,4748.42,7344.59,7511.85,9050.76,351205.58,5704916.64,10305807.05,13301956.42,41638728.42,51743053.84,52723092.04,83168753.87,206740610.75,276744589.6,530411303.16
h_1,4008.76,6707.04,6571.38,8327.25,8092.35,72997.47,9771808.31,14643706.98,14744276.95,39683134.82,47703716.66,53859002.53,116199415.84,175897877.46,259927830.26,705503526.87
g_1,3720.02,4303.61,6765.05,13311.72,8236.62,70763.85,4728018.38,26542021.17,11343748.29,48605133.14,77128195.42,62474692.37,138484435.24,247631252.0,275761462.17,469825276.43
d_0,3619.16,5189.39,13548.19,5054.18,9535.26,64369.43,4996305.94,10970228.49,23823777.92,29976073.14,52153351.19,47202089.0,133070006.19,217194312.06,254079454.08,563180169.01
c_0,4112.55,5367.02,5336.87,9546.79,7484.35,67196.54,5435795.81,13485114.84,13774374.96,84459673.48,55314160.35,115251168.61,182081387.07,256381864.33,262936254.22,678570597.76
f_0,3765.92,4178.35,7571.48,8730.83,9285.25,79596.67,5424252.49,12621559.24,17732211.25,43603462.94,101922445.17,68631859.75,168856160.55,251059381.29,585211794.42,552952624.24
b_0,4211.12,5506.85,7185.62,9920.8,5800.64,50622.39,5641580.8,14481174.46,12677003.63,56563193.28,54287823.39,116249793.79,296902344.0,237224496.3,236448021.37,597222560.04
a_0,4104.37,5403.6,7092.12,8646.91,8705.79,59572.09,5530549.5,13505793.0,14155968.81,53904996.61,67476611.27,61622136.33,302391346.06,280392199.32,374546608.42,572401222.14
h_0,3730.65,6640.42,7697.16,8809.45,8569.87,57833.78,3893431.79,14935630.32,15912828.76,46773592.14,41696743.01,54706314.59,148137729.54,192349434.11,258605042.32,745909664.71
e_0,2272.81,5566.91,7278.88,9431.59,10205.94,78386.49,6361037.65,12573533.65,14037579.58,54346674.95,52595729.39,61252369.33,123476244.27,261342532.77,642969625.7,597574107.31
g_0,3479.77,4814.0,7502.96,13435.16,9301.61,64355.01,4842147.77,9217673.44,13193547.9,43353824.79,78113747.01,54429320.59,128964206.95,239219391.15,302700764.35,439841701.3
