,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.48,1.36,2.22,1.53,1.41,1.22,2.48,2.67,2.76,3.28,3.1,2.58,3.54,3.12,2.45,3.84
d_1,1.69,2.5,1.43,1.33,1.38,1.48,2.99,2.78,4.7,2.47,3.71,3.3,3.64,3.7,3.59,3.26
e_1,1.39,1.37,2.55,1.8,1.45,1.43,2.98,3.1,3.12,5.1,3.21,3.62,4.4,3.13,3.02,4.28
c_1,1.49,1.4,1.31,2.6,2.41,1.38,2.78,2.61,2.14,2.7,2.5,3.06,4.05,3.07,3.07,4.07
b_1,1.45,1.6,1.41,1.19,2.74,2.57,2.84,2.64,2.91,3.03,2.43,3.32,3.97,2.75,3.43,4.64
a_1,1.71,1.51,1.42,1.61,1.29,3.3,3.36,3.04,3.5,2.92,3.54,3.52,4.63,2.45,3.53,4.3
h_1,1.98,1.57,1.48,1.7,1.26,1.38,4.44,3.71,3.26,2.9,3.55,3.1,3.91,3.58,3.35,5.37
g_1,1.47,2.13,1.26,1.54,1.54,1.47,2.73,4.62,3.31,2.8,3.41,4.61,3.5,3.28,3.8,4.04
c_0,1.82,1.61,1.54,1.66,1.25,1.3,3.04,3.35,4.36,3.61,5.28,3.65,4.58,4.25,3.41,4.35
d_0,1.45,1.36,1.25,2.53,1.57,1.41,3.27,3.15,2.6,4.24,3.73,3.44,3.99,3.59,3.38,4.23
b_0,1.63,1.69,1.56,1.96,1.13,1.21,3.05,3.08,3.12,3.2,4.64,3.55,4.48,5.81,3.32,4.11
f_0,1.44,1.73,1.28,1.8,1.48,1.49,3.07,2.62,3.5,3.73,3.76,4.61,4.5,3.74,6.46,4.05
h_0,2.04,1.78,1.55,1.38,1.43,1.41,2.27,3.99,3.38,3.13,3.27,3.23,3.77,3.04,3.39,5.15
a_0,1.58,1.55,1.64,1.82,1.51,1.3,2.65,3.14,3.12,3.39,2.95,3.49,4.48,5.06,3.93,4.12
e_0,1.84,1.51,1.41,1.56,1.6,1.6,3.28,3.13,3.8,3.31,3.99,2.78,4.51,3.96,5.16,4.15
g_0,1.48,2.27,1.45,1.53,1.27,1.47,2.55,2.66,3.25,2.84,3.53,4.6,4.09,3.28,3.88,3.85
