,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.99,1.11,0.55,0.52,0.61,0.57,2.14,2.26,2.07,3.01,2.67,0.62,3.64,2.75,2.49,4.24
e_1,0.73,6.06,0.48,0.73,0.49,0.59,2.43,2.94,1.68,5.38,2.67,2.85,4.53,2.22,1.06,4.63
d_1,0.6,0.59,6.22,0.4,0.57,0.56,2.17,5.87,2.07,0.91,3.76,3.35,5.09,2.92,3.31,4.09
c_1,0.48,0.55,0.48,7.01,1.32,0.45,2.16,0.62,2.14,2.39,2.68,2.74,4.54,3.18,2.75,5.15
b_1,0.67,0.49,0.75,0.41,7.11,1.17,2.22,2.62,2.36,2.69,0.68,2.54,4.67,2.55,2.72,4.62
a_1,0.6,0.6,0.64,0.65,0.49,9.92,2.54,2.76,1.76,3.48,2.15,3.8,4.4,0.76,2.27,4.42
h_1,1.59,1.04,0.96,1.1,0.77,1.11,14.33,4.18,4.79,3.69,5.1,4.19,2.6,6.24,4.6,8.11
c_0,1.13,0.96,1.27,0.4,0.92,1.12,4.01,13.22,5.15,5.49,10.72,6.49,8.39,6.88,6.19,6.33
g_1,0.81,0.87,1.92,1.05,1.02,0.81,2.66,4.47,18.6,2.77,4.83,7.46,5.97,4.66,3.85,1.77
d_0,1.17,1.14,0.37,2.27,0.81,0.95,4.23,3.77,3.26,13.29,5.7,4.71,6.5,5.31,4.73,5.33
b_0,1.14,1.1,1.09,1.38,0.39,0.69,4.01,5.82,4.39,4.37,16.22,5.77,8.41,13.52,7.06,6.3
f_0,0.44,0.73,1.31,1.29,1.16,0.87,4.3,5.94,4.12,4.42,6.34,17.4,9.58,8.66,13.52,8.39
h_0,1.61,0.94,1.23,1.16,0.8,0.77,1.75,4.89,5.02,5.38,4.39,5.15,2.67,4.55,6.26,8.28
a_0,1.11,1.07,1.17,1.51,0.92,,3.46,5.31,5.19,5.22,5.43,6.0,9.22,20.38,6.53,6.68
e_0,1.0,0.34,1.09,1.57,1.01,1.01,4.15,6.19,4.62,6.5,5.61,6.44,6.26,6.21,23.71,8.73
g_0,0.74,1.03,1.56,1.17,1.01,0.94,4.17,4.97,2.36,6.24,7.22,9.17,6.1,4.89,5.35,2.73
