,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.12,6.06,6.0,5.27,5.47,4.93,1.22,0.89,1.11,1.03,2.79,1.01,0.62,0.93,0.97,0.49
f_1,4.76,1.13,4.88,6.46,4.78,5.26,1.18,1.96,1.12,0.98,1.29,1.69,0.69,1.03,1.04,0.94
e_1,6.56,2.95,1.13,5.73,5.88,4.69,2.01,1.96,1.31,1.17,1.09,1.45,0.93,1.45,4.14,1.11
c_1,7.64,6.72,4.53,1.13,6.74,5.59,1.61,1.74,2.55,1.14,0.56,1.06,0.87,1.24,0.97,0.91
b_1,6.57,7.61,6.53,3.42,1.14,10.65,2.11,2.12,1.67,3.12,1.62,1.13,1.06,1.45,1.39,0.86
a_1,9.0,7.95,10.01,11.28,4.4,1.14,3.36,2.93,1.84,2.48,2.5,2.19,1.66,5.92,2.05,1.39
h_1,18.24,17.24,17.61,19.02,17.76,14.58,1.8,5.05,3.8,3.43,3.46,4.04,3.6,3.38,3.87,2.23
g_1,18.14,25.36,24.01,19.88,24.73,19.9,4.16,1.79,4.16,3.83,4.3,4.17,2.22,4.26,3.5,4.55
c_0,10.24,26.74,25.06,48.45,21.81,22.18,6.85,5.64,2.22,4.52,5.36,5.0,3.33,5.26,4.84,3.13
b_0,19.68,23.79,25.06,32.64,46.17,18.84,6.69,7.68,2.5,2.39,5.32,4.69,3.26,3.77,4.32,3.41
d_0,51.22,25.36,12.76,22.97,33.37,21.72,9.39,9.38,5.13,5.06,2.53,5.15,3.78,4.79,6.38,4.01
f_0,24.02,76.64,29.85,24.81,26.63,33.27,8.62,4.85,4.88,5.32,5.32,2.46,3.75,5.2,6.09,2.49
h_0,30.03,39.19,31.21,35.64,33.78,23.66,17.06,8.11,5.86,6.04,6.31,5.77,7.69,5.53,5.58,5.25
a_0,32.25,35.93,34.33,34.46,37.95,53.22,9.84,10.46,5.91,3.97,6.38,8.61,5.19,2.48,5.83,5.98
e_0,28.32,47.25,85.82,41.35,36.45,29.16,9.61,9.76,7.25,6.83,6.81,3.24,4.29,7.1,2.51,4.67
g_0,35.91,51.48,48.35,49.22,37.95,43.45,8.04,23.29,8.79,10.47,8.78,8.08,4.96,6.76,8.04,8.74
