,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.66,1.2,1.43,1.7,2.85,18.74,35.17,31.07,36.95,41.58,,69.87,103.81,111.13,102.42
e_1,0.6,1.0,1.32,1.36,2.04,3.88,15.74,25.6,40.58,43.41,39.46,57.69,63.39,83.38,110.84,
d_1,0.83,0.76,1.0,1.04,1.49,2.66,16.58,21.17,,39.13,31.46,44.46,63.93,66.48,64.15,105.19
c_1,0.7,0.74,0.96,1.0,1.61,3.12,14.77,19.72,15.03,,24.9,41.58,48.16,71.67,87.5,
b_1,0.59,0.49,0.67,0.62,1.0,1.85,15.46,15.88,12.86,22.32,,24.99,40.03,36.68,78.27,87.49
a_1,0.35,0.26,0.38,0.32,0.54,1.0,6.24,8.05,7.62,10.67,12.03,17.26,26.11,,30.83,
h_1,0.05,0.06,0.06,0.07,0.06,0.16,1.0,1.67,1.62,1.74,1.73,1.98,,4.46,8.61,7.41
g_1,0.03,0.04,0.05,0.05,0.06,0.12,0.6,1.0,1.13,1.01,0.96,2.24,2.22,,,
d_0,0.03,0.02,,0.07,0.08,0.13,0.62,0.89,1.0,1.3,1.42,1.7,2.07,,3.02,5.24
c_0,0.03,0.02,0.03,,0.04,0.09,0.57,0.99,0.77,1.0,1.41,1.36,1.96,2.69,3.44,4.02
b_0,0.02,0.03,0.03,0.04,,0.08,0.58,1.04,0.71,0.71,1.0,1.56,1.66,2.77,3.14,3.6
f_0,,0.02,0.02,0.02,0.04,0.06,0.5,0.45,0.59,0.74,0.64,1.0,1.2,1.59,2.08,
h_0,0.01,0.02,0.02,0.02,0.02,0.04,,0.45,0.48,0.51,0.6,0.84,,1.38,1.95,1.57
a_0,0.01,0.01,0.02,0.01,0.03,,0.22,,,0.37,0.36,0.63,0.72,1.0,1.69,1.6
g_0,0.01,0.01,0.02,0.01,0.01,0.03,0.12,,0.33,0.29,0.32,0.48,0.51,0.59,,0.95
e_0,0.01,,0.01,,0.01,,0.13,,0.19,0.25,0.28,,0.64,0.63,1.05,1.0
