,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.5,0.43,0.39,0.54,0.44,0.28,0.57,0.49,0.52,0.99,0.59,0.59,0.67,0.28,0.63,0.51
f_1,0.75,1.5,0.45,0.43,0.37,0.36,0.47,0.5,0.56,0.51,0.22,0.52,0.59,0.37,0.49,0.38
d_1,0.47,0.53,1.53,0.44,0.43,0.41,0.54,0.42,0.9,0.26,0.5,0.6,0.62,0.44,0.51,0.33
c_1,0.41,0.56,0.47,1.55,0.7,0.39,0.57,0.49,0.19,0.49,0.48,0.47,0.67,0.42,0.57,0.45
b_1,0.48,0.52,0.45,0.37,1.62,0.62,0.58,0.53,0.6,0.55,0.6,0.24,0.62,0.57,0.53,0.5
a_1,0.62,0.52,0.56,0.47,0.42,1.72,0.64,0.49,0.61,0.5,0.56,0.48,0.55,0.47,0.56,0.19
h_1,0.69,1.01,0.69,0.71,0.63,0.55,1.68,1.08,0.83,0.9,0.81,0.78,0.48,0.74,0.92,0.72
g_1,0.8,0.76,1.11,0.61,0.52,0.67,0.7,1.76,0.85,0.73,1.21,0.84,0.7,0.67,0.53,0.74
c_0,0.9,0.77,0.81,0.56,0.6,0.72,0.81,0.86,1.51,0.92,1.09,1.39,1.01,0.88,0.95,0.88
d_0,0.61,0.81,0.41,1.35,0.73,0.69,0.82,0.77,0.81,1.47,0.92,0.8,0.82,0.81,0.92,0.84
f_0,0.75,0.58,0.71,0.94,0.7,0.68,0.99,0.69,0.81,1.05,1.58,0.98,0.84,1.44,0.97,0.83
b_0,0.75,0.78,0.85,0.87,0.48,0.6,0.92,0.87,0.79,0.97,0.95,1.61,0.98,0.97,1.01,1.41
h_0,0.71,0.98,0.88,0.87,0.66,0.76,0.6,1.05,0.87,1.06,0.91,0.86,0.63,0.71,1.18,0.73
e_0,0.37,1.03,0.99,1.02,0.72,0.7,1.02,0.99,0.96,0.92,0.88,0.78,1.1,1.72,0.78,0.71
g_0,0.66,0.72,1.25,0.81,0.73,0.58,0.84,0.67,0.94,0.99,1.29,0.87,0.93,1.11,0.72,0.69
a_0,0.79,1.01,1.23,0.88,0.67,0.41,0.94,0.85,0.85,1.02,0.98,0.83,1.0,0.73,1.05,1.71
