,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.51,0.55,0.45,0.42,0.46,0.35,0.52,0.43,0.91,0.26,0.61,0.52,0.62,0.56,0.38,0.35
e_1,0.35,1.5,0.39,0.54,0.44,0.43,0.58,0.52,0.58,0.91,0.61,0.54,0.62,0.56,0.44,0.23
f_1,0.5,0.8,1.52,0.48,0.33,0.35,0.56,0.39,0.48,0.56,0.51,0.28,0.54,0.44,0.4,0.41
c_1,0.44,0.45,0.51,1.55,0.68,0.36,0.64,0.53,0.29,0.49,0.31,0.41,0.66,0.63,0.48,0.57
b_1,0.51,0.5,0.6,0.4,1.6,0.63,0.46,0.46,0.51,0.59,0.31,0.52,0.61,0.6,0.32,0.44
a_1,0.6,0.53,0.51,0.54,0.4,1.75,0.5,0.46,0.6,0.57,0.68,0.65,0.7,0.5,,0.43
h_1,0.82,0.53,0.91,0.61,0.88,0.51,1.69,1.15,0.98,0.81,0.79,0.89,0.52,1.09,0.71,0.74
g_1,1.2,0.55,0.75,0.64,0.79,0.6,0.7,1.77,0.68,0.71,0.9,1.03,0.62,0.41,0.77,0.73
c_0,0.77,0.76,0.93,0.47,0.61,0.57,0.94,0.99,1.51,0.97,1.58,0.84,1.13,1.03,1.03,0.79
d_0,0.55,0.56,0.98,1.23,0.59,0.54,1.02,0.9,0.81,1.48,0.79,0.96,0.92,0.9,0.83,0.77
b_0,0.86,0.64,0.88,1.16,0.41,0.46,0.93,0.85,0.82,1.13,1.58,0.79,1.0,0.9,1.47,0.71
f_0,0.98,0.78,0.57,0.85,0.79,0.56,0.86,0.75,1.0,0.9,1.07,1.59,1.05,0.87,0.9,1.19
h_0,0.87,0.73,1.04,0.81,0.71,0.53,0.6,1.36,0.87,0.9,0.91,0.83,0.64,1.19,0.58,0.9
g_0,1.09,0.76,0.88,0.65,0.66,0.76,0.85,0.73,0.95,0.87,0.9,1.34,0.84,0.64,0.76,0.9
a_0,0.99,0.77,0.89,0.91,0.93,,0.96,0.89,0.81,0.93,0.76,0.94,1.35,0.9,1.74,0.84
e_0,1.12,0.41,0.85,0.75,0.92,0.66,1.01,0.93,1.05,1.02,1.07,0.85,1.06,0.87,0.92,1.76
