,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.65,1.02,0.87,0.98,0.85,0.75,0.37,0.35,0.45,0.31,0.4,0.33,0.3,0.22,0.3,0.29
e_1,0.7,0.65,0.87,1.19,1.01,0.8,0.45,0.46,0.45,0.34,0.39,0.36,0.32,0.29,0.43,0.29
d_1,1.01,1.12,0.64,0.92,0.93,0.82,0.42,0.42,0.29,0.39,0.35,0.35,0.31,0.26,0.32,0.21
c_1,0.99,0.81,1.24,0.63,1.17,0.89,0.44,0.24,0.45,0.42,0.34,0.34,0.34,0.27,0.31,0.28
b_1,1.17,1.02,1.14,0.7,0.62,1.16,0.49,0.35,0.49,0.45,0.35,0.41,0.35,0.32,0.31,0.32
a_1,1.47,1.28,1.19,1.16,0.73,0.56,0.64,0.5,0.59,0.48,0.44,0.6,0.55,0.37,0.41,0.36
h_1,1.68,1.52,1.46,1.56,1.52,1.26,0.54,0.57,0.68,0.51,0.53,0.51,0.45,0.5,0.48,0.43
d_0,1.74,1.19,1.88,1.99,1.89,1.51,0.83,0.55,0.82,0.65,0.6,0.65,0.58,0.57,0.58,0.51
g_1,1.76,1.63,1.85,1.69,1.72,1.45,0.65,0.65,0.51,0.58,0.62,0.62,0.56,0.43,0.58,0.6
c_0,1.92,1.82,1.22,2.19,1.88,1.32,0.84,0.79,0.75,0.54,0.62,0.71,0.59,0.54,0.61,0.48
f_0,2.21,1.76,1.78,1.76,1.75,1.62,0.89,0.76,0.63,0.63,0.54,0.68,0.59,0.54,0.74,0.37
b_0,1.84,1.77,1.6,2.2,2.35,1.3,0.84,0.71,0.75,0.46,0.63,0.52,0.73,0.59,0.63,0.51
a_0,2.31,2.05,1.95,2.22,2.42,1.78,0.96,0.83,0.82,0.65,0.67,0.48,0.52,0.66,0.71,0.57
h_0,2.22,2.06,1.95,2.05,1.99,1.71,1.04,0.76,0.91,0.72,0.71,0.78,0.61,0.68,0.66,0.62
e_0,2.6,2.03,2.01,2.03,1.99,1.88,0.93,0.69,0.83,0.72,0.49,0.77,0.67,0.61,0.51,0.45
g_0,2.25,2.18,2.29,2.18,1.96,2.06,0.83,0.8,0.95,0.77,0.97,0.85,0.68,0.55,0.76,0.66
