,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.37,0.22,0.23,0.26,0.22,0.25,0.56,1.09,0.52,0.69,0.57,0.59,0.87,0.73,,0.56
f_1,0.47,2.41,0.25,0.25,0.29,0.33,0.49,0.56,0.56,0.71,0.54,,0.67,0.48,0.64,0.73
d_1,0.27,0.38,2.54,0.23,0.21,0.29,0.7,,0.47,0.79,0.61,0.69,0.75,0.49,0.82,0.62
c_1,0.29,0.29,0.22,2.59,0.44,0.24,0.59,0.57,0.51,,0.62,0.57,0.74,0.67,0.72,0.78
b_1,0.28,0.23,0.32,0.3,2.69,0.46,0.38,0.5,0.62,0.65,,0.75,0.86,0.6,,0.81
a_1,0.3,0.22,0.29,0.31,0.18,3.18,0.61,0.5,0.67,0.46,0.76,0.59,1.05,,,0.81
h_1,0.57,0.75,0.42,0.46,0.72,0.48,3.86,1.23,1.0,0.9,1.29,0.98,,0.94,1.34,2.01
d_0,0.4,0.52,,1.07,0.71,0.64,1.13,3.39,1.06,1.11,1.56,1.33,1.84,1.42,1.57,1.78
g_1,0.45,0.46,0.76,0.43,0.47,0.48,1.21,1.11,4.29,1.31,0.85,1.67,1.48,1.48,1.11,
c_0,0.66,0.61,0.63,,0.38,0.72,1.42,1.59,1.06,3.65,2.2,1.46,1.27,1.38,1.01,1.66
b_0,0.57,0.66,0.73,0.46,,0.48,1.16,1.32,1.58,1.08,3.81,1.53,1.71,1.98,1.33,2.0
f_0,0.61,,0.53,0.61,0.71,0.69,1.32,1.33,1.18,1.55,1.1,3.89,1.9,1.22,2.36,1.26
h_0,0.74,1.08,0.73,0.85,0.79,0.54,,1.66,1.8,1.65,1.58,1.46,,1.39,1.41,2.73
a_0,0.56,0.63,0.84,0.46,0.52,,1.5,1.42,0.93,1.3,1.48,1.55,2.13,4.48,,1.35
e_0,,0.58,0.55,0.66,,,1.14,1.51,1.28,1.87,1.14,1.28,2.21,,4.47,1.99
g_0,0.76,0.68,1.14,0.8,0.89,0.67,1.2,1.44,,2.08,1.74,1.84,1.28,1.68,1.79,
