,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.91,0.57,0.27,0.28,0.19,0.17,0.25,0.25,0.21,0.29,0.23,0.12,0.27,0.16,0.26,0.12
e_1,0.38,0.91,0.26,0.4,0.24,0.16,0.29,0.28,0.23,0.49,0.23,0.26,0.28,0.2,0.23,0.12
d_1,0.37,0.29,0.91,0.25,0.28,0.14,0.32,0.52,0.22,0.15,0.29,0.25,0.29,0.19,0.24,0.2
c_1,0.31,0.27,0.33,0.91,0.5,0.17,0.28,0.18,0.18,0.26,0.17,0.23,0.27,0.15,0.24,0.15
b_1,0.33,0.29,0.33,0.33,0.89,0.35,0.31,0.25,0.2,0.24,0.17,0.24,0.29,0.15,0.22,0.15
a_1,0.32,0.31,0.38,0.32,0.26,0.88,0.3,0.3,0.27,0.25,0.25,0.24,0.32,0.16,0.26,0.16
h_1,0.5,0.32,0.4,0.3,0.25,0.18,0.63,0.3,0.33,0.31,0.27,0.23,0.22,0.17,0.36,0.18
c_0,0.45,0.33,0.37,0.27,0.18,0.19,0.37,0.51,0.31,0.34,0.51,0.31,0.34,0.28,0.27,0.21
g_1,0.34,0.31,0.51,0.34,0.28,0.17,0.32,0.32,0.6,0.26,0.25,0.38,0.25,0.22,0.17,0.18
d_0,0.38,0.31,0.24,0.61,0.3,0.15,0.32,0.22,0.27,0.49,0.27,0.27,0.28,0.23,0.29,0.18
b_0,0.44,0.38,0.38,0.35,0.18,0.15,0.32,0.3,0.26,0.32,0.5,0.28,0.33,0.43,0.29,0.17
f_0,0.32,0.26,0.43,0.36,0.29,0.19,0.41,0.33,0.27,0.3,0.27,0.5,0.27,0.23,0.27,0.43
h_0,0.51,0.38,0.36,0.35,0.24,0.17,0.24,0.29,0.36,0.28,0.27,0.25,0.22,0.2,0.32,0.15
a_0,0.38,0.38,0.42,0.39,0.28,0.12,0.36,0.31,0.22,0.31,0.26,0.27,0.29,0.42,0.23,0.2
g_0,0.34,0.32,0.52,0.36,0.25,0.15,0.31,0.32,0.21,0.29,0.28,0.41,0.29,0.19,0.2,0.22
e_0,0.4,0.27,0.4,0.38,0.3,0.16,0.31,0.36,0.2,0.28,0.23,0.25,0.33,0.19,0.28,0.42
