,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.11,0.79,0.6,0.97,0.77,0.64,0.91,0.87,1.61,0.99,1.03,1.06,0.97,0.72,0.97,1.05
f_1,1.35,2.14,0.72,0.66,0.74,0.53,0.9,0.82,0.85,0.92,0.57,0.99,0.97,0.64,0.76,0.91
d_1,0.76,0.86,2.28,0.56,0.66,0.67,1.08,0.94,0.66,1.69,1.07,1.22,0.94,1.1,1.2,1.14
c_1,0.57,0.75,0.75,2.23,1.22,0.81,0.89,0.93,0.91,0.45,0.93,0.69,0.95,0.94,0.81,0.9
b_1,0.69,0.76,0.79,0.78,2.39,1.39,0.86,0.94,0.95,0.82,0.79,0.51,1.08,0.95,0.89,0.7
a_1,0.76,0.79,0.79,0.75,0.75,3.37,1.04,0.95,0.89,1.0,1.1,1.01,1.0,1.07,1.12,0.65
h_1,0.74,1.07,0.93,0.85,0.69,0.73,2.05,1.25,0.85,1.02,1.01,1.1,0.84,0.9,1.4,1.02
g_1,0.66,0.7,1.28,0.96,0.72,0.74,0.94,2.35,0.82,1.11,1.6,1.19,1.11,1.23,1.05,1.03
d_0,0.75,0.78,0.47,1.62,0.84,0.76,0.99,1.05,1.63,0.7,1.12,0.85,1.0,1.02,0.98,0.95
c_0,0.85,0.9,0.98,0.72,0.57,0.72,1.13,1.23,1.1,1.73,1.35,2.05,1.19,1.16,1.11,1.33
f_0,0.59,0.62,1.09,0.95,0.82,0.89,1.08,0.97,1.02,1.07,1.95,1.13,1.0,2.57,1.25,1.22
b_0,0.81,0.9,0.89,0.9,0.57,0.69,1.11,1.13,1.01,0.99,1.29,1.96,1.29,1.17,1.21,2.26
h_0,0.84,1.15,0.96,0.83,0.7,0.73,0.81,1.45,0.99,0.85,1.15,0.98,0.83,1.05,1.44,1.11
e_0,0.52,0.84,1.04,0.96,0.8,0.95,1.2,1.28,1.08,1.05,1.01,1.09,1.18,2.71,1.19,1.03
g_0,0.7,0.75,1.34,0.82,0.7,0.77,1.14,0.91,0.85,1.1,1.75,1.17,0.98,1.43,1.03,0.99
a_0,0.76,0.91,1.08,0.92,0.7,0.57,1.16,1.28,0.87,1.0,1.07,1.22,1.33,1.23,1.03,2.41
