,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.91,0.93,0.87,0.72,0.4,0.38,0.49,0.43,0.37,0.31,0.27,0.29,0.31,0.37
e_1,0.82,1.0,0.95,1.18,0.92,0.77,0.54,0.44,0.44,0.57,0.42,0.48,0.39,0.33,0.4,0.34
d_1,1.1,1.05,1.0,0.81,0.86,0.78,0.51,0.59,0.35,0.49,0.47,0.4,0.38,0.36,0.37,0.28
c_1,1.06,0.85,1.23,1.0,1.66,0.65,0.51,0.37,0.47,0.29,0.36,0.36,0.38,0.34,0.3,0.35
b_1,1.15,1.09,1.18,0.6,1.0,1.33,0.66,0.5,0.49,0.51,0.43,0.39,0.44,0.33,0.33,0.38
a_1,1.4,1.3,1.28,1.55,0.76,1.0,0.7,0.53,0.58,0.68,0.61,0.6,0.57,0.63,0.4,0.44
h_1,2.46,1.84,2.0,1.96,1.57,1.41,1.0,0.8,1.08,0.74,0.77,0.69,0.67,0.75,0.62,0.72
c_0,2.54,2.33,1.66,3.16,1.95,1.74,1.18,1.0,1.07,1.12,1.28,0.87,0.93,0.91,0.69,0.74
g_1,2.02,2.32,2.76,2.17,2.03,1.76,0.94,0.99,1.0,0.86,0.85,1.03,0.69,0.7,0.6,0.55
d_0,2.21,1.87,2.12,3.38,1.99,1.47,1.39,0.91,1.13,1.0,0.98,0.79,0.87,0.79,0.74,0.65
b_0,2.78,2.36,2.15,2.67,2.35,1.57,1.29,0.8,1.18,1.01,1.0,0.93,1.02,1.25,0.82,0.63
f_0,2.92,2.17,2.45,2.69,2.42,1.73,1.51,1.11,0.94,1.19,1.05,1.0,1.04,1.07,1.35,0.66
h_0,3.36,2.63,2.67,2.6,2.32,1.64,1.49,1.08,1.48,1.15,0.97,0.95,1.0,0.8,0.94,1.07
a_0,3.51,2.92,2.64,2.95,3.27,1.7,1.36,1.12,1.51,1.33,0.86,1.06,1.27,1.0,1.0,1.02
e_0,3.36,2.56,2.74,3.2,2.89,2.51,1.72,1.36,1.79,1.33,1.25,0.78,1.11,1.0,1.0,1.05
g_0,2.77,2.88,3.8,2.88,2.55,2.23,1.36,1.31,1.61,1.47,1.48,1.53,0.98,1.0,1.0,1.0
