,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.29,74.53,81.56,93.95,108.04,271.32,7296.31,14135.22,16138.23,24259.08,37039.13,27085.76,105223.31,89158.1,125677.33,186839.92
e_1,48.98,97.33,77.92,85.53,121.02,301.99,8084.2,26702.77,22364.85,26062.27,46464.78,53736.38,136154.97,97337.96,158418.23,235530.79
c_1,38.97,42.39,130.83,98.35,177.92,280.35,6698.88,10359.34,16323.62,11113.62,26201.58,35293.84,94402.56,91729.05,88986.2,202560.37
d_1,41.91,43.37,45.8,174.81,85.56,206.44,7153.03,8329.37,12651.25,34771.09,36519.56,34625.33,107838.27,110457.68,104162.74,178133.03
b_1,35.43,35.04,44.33,80.92,203.16,453.23,5098.76,11869.08,11472.86,19734.21,16939.39,37184.86,99106.09,96408.43,73674.89,168770.49
a_1,30.8,26.44,38.7,64.0,48.37,454.51,4483.62,8922.78,9682.84,12619.91,24866.59,24783.0,74465.03,75063.55,55316.0,133027.13
h_1,15.55,11.79,18.14,24.2,32.63,71.48,3115.24,3426.76,5658.04,6743.69,9604.46,11307.94,22912.14,35476.19,28769.28,67943.35
d_0,10.97,7.78,26.06,15.87,26.26,56.51,1839.97,4391.05,4315.46,4330.57,7861.42,8337.33,26857.44,30518.86,28628.59,53628.45
g_1,9.31,7.23,13.68,28.02,24.28,60.15,1437.54,2662.21,6185.7,5291.23,7906.57,11516.68,20077.53,26429.1,21761.58,37027.18
c_0,10.19,9.04,13.18,16.39,16.06,55.39,1422.82,2928.4,3318.94,6682.34,13071.6,9182.7,21877.55,21337.76,26946.26,41521.82
b_0,9.07,7.35,12.17,15.72,17.53,39.21,1397.63,2488.24,2934.51,3242.94,9296.28,7082.47,17285.18,20173.57,33568.46,37221.25
f_0,6.41,5.83,12.55,16.18,19.05,54.44,1217.55,2623.37,2682.62,3625.11,6161.41,10416.17,18942.16,33002.76,15867.17,34050.59
h_0,6.7,5.33,9.1,11.59,14.47,34.75,731.5,1627.62,2715.94,3087.41,4620.13,4929.93,11634.48,15396.79,12411.36,37153.63
e_0,6.09,3.27,10.23,10.34,14.62,38.01,916.82,1459.2,1947.94,2950.38,3971.61,4648.1,13691.08,21991.83,11908.06,26841.03
a_0,5.39,5.12,9.14,9.91,14.81,23.14,903.98,1640.3,2295.54,2625.14,3750.49,5544.75,15001.26,15528.49,22494.19,30913.39
g_0,4.15,3.8,7.14,12.68,11.9,25.7,730.11,1265.17,1527.08,2329.51,3569.7,6052.86,9456.28,12471.76,9314.42,18280.51
