,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.15,1.35,1.28,1.81,3.61,18.74,23.15,38.0,34.75,45.59,50.59,79.19,87.17,103.11,98.43
f_1,0.87,1.0,1.56,1.3,1.87,3.03,16.17,30.13,29.58,37.62,37.49,49.31,74.14,69.54,80.7,114.33
e_1,0.73,0.65,1.0,1.38,1.54,2.71,15.08,22.95,22.52,37.37,34.45,42.92,58.29,65.22,82.04,91.26
c_1,0.79,0.76,0.74,1.0,1.78,2.62,14.01,22.42,18.37,18.05,20.51,36.59,45.41,58.01,70.55,82.68
b_1,0.55,0.53,0.64,0.56,1.0,2.52,10.61,16.86,17.67,17.95,20.67,26.66,34.84,45.2,49.21,62.24
a_1,0.27,0.32,0.36,0.38,0.4,1.0,6.49,9.06,9.16,10.21,12.21,15.66,19.41,25.31,33.71,38.36
h_1,0.05,0.06,0.07,0.07,0.09,0.16,1.0,1.7,1.66,1.86,2.29,2.63,3.81,4.59,5.75,6.58
g_1,0.04,0.03,0.04,0.04,0.06,0.11,0.57,1.0,0.97,1.13,1.4,2.1,2.61,2.59,3.96,3.74
c_0,0.03,0.03,0.04,0.05,0.06,0.12,0.58,1.04,1.0,1.53,1.75,1.66,2.72,2.62,3.5,3.43
d_0,0.03,0.03,0.03,0.06,0.06,0.1,0.52,0.88,0.67,1.0,1.07,1.47,2.29,2.4,2.83,2.93
b_0,0.02,0.03,0.03,0.05,0.05,0.08,0.44,0.7,0.57,0.97,1.0,1.22,2.47,2.17,2.5,2.72
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.38,0.47,0.61,0.69,0.73,1.0,1.44,1.62,2.9,1.97
a_0,0.01,0.01,0.02,0.02,0.03,0.05,0.27,0.37,0.36,0.48,0.43,0.69,1.0,1.23,1.39,1.62
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.39,0.37,0.42,0.45,0.61,0.81,1.0,1.07,1.45
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.25,0.29,0.34,0.4,0.34,0.73,0.94,1.0,0.97
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.25,0.3,0.32,0.36,0.49,0.63,0.69,0.96,1.0
