,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.26,1.93,1.94,2.21,1.9,0.64,0.72,0.65,0.92,0.66,1.47,0.51,0.66,0.59,0.7
e_1,1.33,0.66,2.35,2.14,2.38,2.18,0.99,0.9,0.7,0.97,0.62,0.79,0.52,0.92,1.8,0.58
d_1,1.97,2.26,0.65,2.44,2.04,1.99,0.81,1.6,0.91,0.66,0.8,0.69,0.55,0.67,0.69,0.4
c_1,2.01,1.94,2.1,0.65,2.73,2.38,1.11,0.47,1.51,0.81,0.71,0.68,0.65,0.65,0.73,0.66
b_1,2.33,2.24,2.23,1.29,0.64,2.19,1.06,0.9,1.07,1.18,2.05,0.7,0.72,0.75,0.73,0.64
a_1,2.95,2.62,2.39,2.89,1.39,0.58,1.79,1.3,0.87,1.32,1.03,1.11,0.84,1.73,1.07,0.92
h_1,4.38,2.5,3.0,2.58,2.39,1.77,0.58,0.86,0.98,1.39,1.12,0.88,1.17,0.84,0.75,0.74
d_0,3.18,1.79,4.97,3.57,2.58,2.53,1.33,0.67,1.01,1.18,0.98,1.28,1.05,0.93,1.0,0.92
c_0,3.25,3.58,1.66,5.17,2.86,2.46,1.37,1.59,0.65,1.61,1.28,0.98,0.79,1.05,0.88,0.83
g_1,4.08,2.92,3.07,3.37,2.42,2.58,1.1,1.13,1.11,0.55,1.19,1.44,0.89,0.92,1.03,1.57
b_0,3.5,3.17,2.63,3.72,4.27,2.58,1.2,1.21,0.68,1.36,0.63,0.9,0.8,1.03,1.02,0.84
f_0,6.19,3.07,3.06,3.65,3.48,2.58,1.43,1.14,1.27,0.83,1.17,0.6,0.96,0.75,1.49,0.56
h_0,3.76,3.71,3.25,3.69,3.11,2.8,2.37,1.11,1.3,1.5,1.51,1.1,1.63,0.97,1.07,1.1
a_0,3.55,3.14,4.25,4.16,4.29,5.4,1.64,1.45,1.32,1.43,0.84,1.48,1.5,0.58,1.05,1.05
e_0,5.81,6.13,3.05,3.32,3.59,2.83,1.57,1.38,1.2,1.53,1.22,0.66,1.28,1.79,0.56,1.17
g_0,4.42,3.7,4.29,4.06,3.98,2.62,1.25,1.48,1.27,2.05,1.36,1.39,0.96,1.04,1.16,1.33
