,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.42,0.73,0.7,0.6,0.65,0.63,0.36,0.35,0.26,0.39,0.33,0.29,0.25,0.28,0.19,0.31
f_1,0.63,0.41,0.74,0.72,0.65,0.61,0.29,0.28,0.38,0.32,0.27,0.33,0.21,0.28,0.28,0.24
e_1,0.73,0.46,0.4,0.76,0.75,0.65,0.36,0.33,0.4,0.36,0.32,0.39,0.27,0.31,0.3,0.37
c_1,0.76,0.73,0.55,0.37,0.9,0.56,0.3,0.34,0.35,0.2,0.26,0.27,0.24,0.28,0.25,0.29
b_1,0.69,0.78,0.62,0.41,0.35,0.83,0.45,0.35,0.39,0.28,0.42,0.32,0.27,0.33,0.28,0.31
a_1,0.72,0.72,0.7,0.76,0.38,0.3,0.41,0.31,0.42,0.32,0.36,0.33,0.3,0.4,0.31,0.28
h_1,0.56,0.65,0.61,0.78,0.58,0.57,0.24,0.27,0.35,0.3,0.26,0.28,0.26,0.24,0.26,0.25
c_0,0.43,0.74,0.73,0.81,0.59,0.66,0.36,0.24,0.34,0.36,0.38,0.29,0.28,0.32,0.25,0.29
g_1,0.64,0.69,0.63,0.69,0.61,0.56,0.26,0.26,0.22,0.29,0.27,0.26,0.21,0.28,0.23,0.26
d_0,0.74,0.61,0.41,0.72,0.71,0.68,0.36,0.27,0.4,0.24,0.32,0.28,0.26,0.32,0.29,0.27
b_0,0.54,0.68,0.63,0.85,0.67,0.55,0.36,0.19,0.35,0.3,0.22,0.32,0.25,0.35,0.25,0.29
f_0,0.61,0.78,0.54,0.7,0.58,0.59,0.34,0.28,0.28,0.3,0.27,0.21,0.26,0.32,0.17,0.35
h_0,0.6,0.66,0.58,0.62,0.63,0.58,0.4,0.27,0.33,0.29,0.27,0.27,0.27,0.26,0.26,0.24
a_0,0.58,0.67,0.62,0.76,0.67,0.68,0.36,0.23,0.32,0.32,0.18,0.28,0.25,0.19,0.25,0.31
g_0,0.64,0.66,0.59,0.68,0.6,0.53,0.31,0.28,0.37,0.29,0.26,0.31,0.19,0.25,0.25,0.3
e_0,0.59,0.81,0.71,0.57,0.62,0.6,0.36,0.3,0.28,0.35,0.24,0.17,0.26,0.26,0.21,0.19
