,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,10.39,0.54,0.78,0.98,0.72,0.61,0.99,2.55,0.84,1.05,0.93,1.04,0.9,1.08,0.6,0.97
d_1,0.54,15.32,0.7,0.49,0.58,0.67,0.92,0.57,2.86,0.98,1.54,1.08,1.15,1.09,1.43,1.26
f_1,2.09,0.58,10.74,0.8,0.54,0.63,0.76,1.04,0.77,0.75,0.82,0.52,1.05,0.8,0.68,0.76
c_1,0.63,0.61,0.69,10.73,2.2,0.69,0.96,0.63,0.61,0.87,0.56,0.83,0.85,0.86,0.88,0.79
b_1,0.67,0.76,0.69,0.66,11.5,1.8,0.96,0.87,0.7,0.9,0.62,0.9,1.01,0.97,0.94,0.75
a_1,0.7,0.81,0.8,0.69,0.51,17.2,1.09,1.01,0.92,0.96,1.09,1.28,0.97,1.01,1.18,0.7
h_1,0.68,1.0,1.24,0.72,0.63,0.72,3.32,0.86,0.88,1.45,1.04,1.05,0.73,1.4,0.98,1.04
d_0,0.66,0.43,0.88,2.54,1.01,0.7,1.17,1.96,0.53,1.03,0.99,1.0,1.0,0.81,0.86,1.15
c_0,0.78,1.1,0.84,0.63,0.54,0.83,0.99,1.0,2.33,0.95,3.2,1.3,1.21,1.22,1.25,1.6
g_1,0.45,1.68,0.59,0.74,0.84,0.77,1.05,0.79,1.09,3.79,1.13,1.96,0.99,0.95,1.31,1.07
b_0,0.71,0.89,0.98,0.97,0.57,0.56,1.2,0.99,1.13,1.0,2.7,1.09,1.2,1.24,0.96,3.14
f_0,0.51,1.2,0.52,0.78,0.8,0.86,1.14,1.01,1.1,1.18,1.43,2.56,1.26,1.32,2.73,1.46
h_0,0.76,0.91,1.17,0.79,0.61,0.67,0.76,1.0,0.85,1.43,1.11,1.12,0.74,1.53,0.98,1.01
g_0,0.58,1.95,0.61,0.8,0.67,0.67,1.01,0.81,1.17,1.0,1.07,2.04,0.99,0.67,1.11,1.05
e_0,0.33,1.18,1.05,0.77,0.8,0.78,1.14,0.77,1.22,1.06,1.35,1.54,1.45,1.27,3.65,1.45
a_0,0.68,1.01,0.8,1.14,0.69,0.71,1.12,1.0,1.03,1.25,1.42,1.26,1.43,1.13,1.18,2.71
