,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.41,1.14,1.19,1.48,1.26,1.16,2.62,2.39,4.08,2.21,2.75,2.88,3.3,3.11,2.63,2.71
f_1,1.87,2.44,1.09,1.24,1.03,1.09,2.17,2.27,2.74,2.72,2.78,1.81,2.58,2.98,2.42,2.3
d_1,1.16,1.36,2.55,0.96,1.28,1.23,2.37,2.3,2.12,4.15,3.07,2.89,3.72,2.94,2.82,2.75
c_1,1.12,1.19,1.39,2.58,1.9,1.18,2.25,2.22,2.12,1.74,1.88,2.4,3.35,3.36,2.87,2.47
b_1,1.16,1.31,1.24,1.11,2.7,1.93,2.04,2.14,2.63,3.1,2.04,2.79,3.65,3.41,2.52,3.04
a_1,1.22,1.35,1.17,1.39,1.11,3.28,2.68,2.79,2.65,2.04,2.94,2.68,3.5,3.34,2.1,2.77
h_1,1.22,1.65,1.39,1.42,1.31,1.13,3.99,3.21,2.56,2.71,3.03,3.56,2.96,4.66,3.18,3.2
g_1,1.26,1.27,1.86,1.4,1.2,1.15,2.47,4.42,2.23,3.0,2.99,4.45,3.26,3.16,3.47,3.31
d_0,1.14,1.43,1.04,2.31,1.38,1.26,2.64,2.74,3.93,2.24,3.13,3.42,3.82,3.73,3.07,3.34
c_0,1.52,1.33,1.29,1.25,1.07,1.46,3.03,2.74,3.39,4.19,5.77,3.27,3.66,4.56,3.64,2.93
b_0,1.27,1.51,1.44,1.65,1.2,1.21,2.81,2.65,2.9,2.29,4.46,2.94,3.91,4.29,5.49,3.12
f_0,1.07,1.18,1.46,1.58,1.38,1.53,2.33,2.46,2.93,3.16,3.29,4.51,4.27,4.15,3.7,5.66
h_0,1.31,2.02,1.31,1.36,1.19,1.24,2.31,3.24,2.76,2.87,2.8,2.59,3.14,4.54,3.05,2.88
g_0,1.21,1.3,2.05,1.41,1.31,1.27,2.33,2.04,2.63,2.41,2.85,3.86,3.48,2.99,2.61,2.54
a_0,1.38,1.55,1.28,1.5,1.41,1.11,2.71,2.36,3.02,3.22,2.75,2.99,4.27,3.99,5.18,2.81
e_0,0.8,1.49,1.47,1.62,1.36,1.37,3.06,2.65,3.01,3.06,3.27,2.87,3.78,4.34,3.43,5.21
