,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.9,0.81,1.26,1.03,0.95,1.03,1.01,0.94,1.41,1.14,1.02,1.06,1.05,1.02,1.05
d_1,1.07,1.0,1.03,0.96,0.98,0.93,1.03,0.84,1.24,0.93,1.02,1.0,1.0,1.08,1.02,0.86
f_1,1.23,0.96,1.0,0.95,0.93,0.9,0.87,1.08,0.93,0.98,0.96,0.96,0.84,1.01,0.77,1.08
c_1,0.79,1.07,1.03,1.0,1.31,1.04,0.98,1.05,0.97,0.71,0.95,0.82,1.04,0.84,0.99,0.97
b_1,0.98,1.02,1.09,0.77,1.0,1.33,1.07,1.07,0.98,0.96,0.92,0.96,1.06,0.89,1.07,1.02
a_1,1.07,1.09,1.12,0.97,0.74,1.0,1.1,1.11,1.05,1.1,1.04,1.31,1.0,1.15,1.1,0.99
h_1,0.93,1.01,1.14,1.03,0.93,0.87,1.0,1.06,0.92,0.95,0.98,1.04,1.03,0.89,0.89,1.16
g_1,0.97,1.12,0.98,0.97,0.94,0.93,0.94,1.0,0.99,0.96,1.09,1.04,0.85,0.94,1.01,1.09
c_0,1.05,0.85,1.05,1.1,1.08,0.9,1.07,0.98,1.0,1.27,1.06,1.35,1.12,1.21,1.02,1.03
d_0,0.74,1.05,0.96,1.41,1.06,0.88,1.05,1.02,0.77,1.0,0.97,1.03,1.06,0.95,0.98,1.15
f_0,0.88,0.97,1.14,1.0,1.08,0.93,1.03,0.92,0.96,1.01,1.0,1.01,1.07,0.91,1.33,0.9
b_0,0.91,1.0,1.04,1.28,0.99,0.79,0.97,0.93,0.74,0.98,0.99,1.0,1.06,1.36,0.99,1.0
h_0,0.95,1.02,1.14,0.98,0.92,0.99,0.97,1.17,0.9,1.01,0.93,0.94,1.0,0.98,0.92,1.19
a_0,0.98,0.96,1.02,1.15,1.07,0.91,1.08,1.02,0.89,1.0,1.02,0.76,1.13,1.01,1.12,1.15
e_0,0.98,1.03,1.22,1.01,0.89,0.91,1.09,1.01,1.0,0.95,0.76,1.05,1.11,0.97,1.0,1.01
g_0,0.91,1.14,0.96,1.03,0.95,1.02,0.83,0.96,0.98,0.93,1.13,0.98,0.87,0.86,1.03,1.0
