,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.89,1.1,0.9,0.72,0.48,0.54,0.39,0.55,0.45,0.45,0.34,0.35,0.34,0.35
f_1,1.28,1.0,0.91,0.94,0.83,0.59,0.44,0.45,0.38,0.42,0.39,0.29,0.28,0.33,0.28,0.3
d_1,1.12,1.1,1.0,0.83,0.9,0.76,0.53,0.38,0.58,0.47,0.45,0.36,0.34,0.34,0.34,0.25
c_1,0.9,1.07,1.22,1.0,1.35,0.79,0.49,0.44,0.39,0.33,0.35,0.4,0.35,0.36,0.33,0.31
b_1,1.09,1.2,1.09,0.76,1.0,1.32,0.63,0.51,0.56,0.46,0.47,0.43,0.45,0.3,0.35,0.36
a_1,1.39,1.66,1.3,1.27,0.77,1.0,0.75,0.6,0.6,0.69,0.62,0.5,0.51,0.58,0.43,0.48
h_1,2.04,2.27,1.95,2.09,1.6,1.3,1.0,1.07,0.78,0.8,0.85,0.73,0.67,0.69,0.55,0.79
g_1,1.9,2.21,2.65,2.21,2.01,1.59,0.92,1.0,1.0,0.9,0.87,1.01,0.74,0.71,0.74,0.7
c_0,2.49,2.67,1.79,2.6,1.74,1.67,1.27,0.96,1.0,1.2,1.32,0.89,0.8,0.86,0.73,0.72
d_0,1.87,2.31,2.21,3.03,2.29,1.5,1.2,1.16,0.84,1.0,1.03,0.91,0.84,0.72,0.73,0.86
b_0,2.25,2.56,2.36,2.69,2.1,1.56,1.21,1.19,0.77,0.96,1.0,0.91,0.83,1.15,0.77,0.73
f_0,2.32,3.14,2.79,2.57,2.37,1.96,1.3,1.03,1.09,1.12,1.09,1.0,1.01,0.86,1.13,0.63
h_0,2.93,3.65,2.97,2.75,2.25,1.92,1.46,1.4,1.23,1.22,1.23,0.99,1.0,0.89,0.9,1.15
a_0,2.8,3.05,2.96,2.79,3.32,1.77,1.46,1.45,1.17,1.3,0.89,1.15,1.12,1.0,1.03,0.86
e_0,2.78,3.65,3.03,3.02,2.81,2.31,1.76,1.31,1.4,1.35,1.38,0.91,1.07,0.89,1.0,1.07
g_0,2.79,3.22,3.84,3.21,2.92,2.07,1.29,1.42,1.37,1.15,1.44,1.61,0.9,1.1,1.02,1.0
