,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,11.15,0.71,0.94,0.48,0.67,0.61,0.96,2.09,0.75,1.08,0.89,0.99,0.91,0.98,0.62,0.98
f_1,1.54,10.9,0.62,0.69,0.59,0.48,0.72,0.9,0.77,0.84,0.73,0.5,0.82,1.04,0.76,0.82
c_1,0.48,0.59,13.7,0.68,1.62,0.65,0.93,0.86,0.38,0.53,0.78,0.75,0.92,0.75,1.0,0.86
d_1,0.66,0.69,0.39,16.82,0.54,0.66,1.09,0.47,2.83,1.4,1.1,1.23,1.11,1.1,1.17,1.09
b_1,0.52,0.65,0.68,0.68,15.69,1.83,0.84,0.94,0.81,0.57,0.78,0.9,0.92,0.71,0.97,0.8
a_1,0.53,0.78,0.73,0.66,0.53,23.05,1.02,0.88,1.25,1.06,0.92,1.05,1.5,0.65,1.08,1.14
h_1,0.65,1.36,0.75,0.89,0.63,0.65,3.57,0.74,1.03,1.23,1.57,1.33,0.67,1.03,1.08,1.48
d_0,0.7,0.61,2.63,0.44,0.82,0.69,1.15,2.27,0.64,1.01,1.01,1.07,1.01,0.96,1.12,1.22
c_0,0.85,0.83,0.45,0.93,0.53,0.74,0.97,0.97,2.6,2.98,1.34,1.41,1.34,1.4,1.01,1.22
b_0,0.92,0.86,0.88,0.75,0.38,0.43,1.2,1.17,1.36,3.37,1.28,1.14,1.21,3.74,1.15,1.36
g_1,0.66,0.63,0.67,1.49,0.61,0.64,1.31,0.72,1.05,1.13,5.8,2.15,1.05,1.18,1.1,0.94
f_0,0.44,0.57,0.87,1.11,0.67,0.78,1.28,1.0,1.2,1.31,1.6,3.99,1.46,1.14,3.68,1.38
h_0,0.69,1.18,0.76,1.01,0.65,0.67,0.81,0.89,1.04,1.23,1.76,1.14,0.82,1.06,1.1,1.74
a_0,0.82,0.84,0.84,0.92,0.51,0.44,1.3,1.15,1.04,1.12,1.47,1.24,1.02,3.5,1.38,1.32
e_0,0.37,0.93,0.68,1.4,0.78,0.78,1.16,0.84,1.27,1.19,1.63,1.28,1.58,1.24,3.62,1.28
g_0,0.54,0.6,0.85,1.82,0.72,0.66,1.1,0.74,1.17,1.01,0.81,2.61,1.22,1.05,1.17,0.9
