,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,16.57,0.54,0.69,0.41,0.54,0.57,0.96,2.01,0.79,0.66,0.83,1.18,1.02,0.99,0.47,1.0
f_1,1.17,17.28,0.41,0.48,0.41,0.64,0.75,0.86,0.91,0.69,0.96,0.34,0.81,0.77,0.82,0.98
c_1,0.39,0.53,19.36,0.62,1.09,0.43,0.71,0.7,0.27,0.81,0.68,0.9,0.73,0.9,0.86,0.78
d_1,0.48,0.59,0.38,20.12,0.54,0.5,1.01,0.34,1.92,1.13,1.32,0.95,1.11,1.15,1.21,0.88
b_1,0.5,0.5,0.73,0.57,19.9,0.97,0.86,0.81,0.81,0.74,0.27,0.81,0.6,0.91,0.83,0.92
a_1,0.5,0.5,0.61,0.59,0.5,32.84,1.04,1.02,0.82,0.89,1.03,0.85,0.63,0.93,1.13,1.43
h_1,0.54,1.11,0.58,0.72,0.67,0.59,5.95,1.03,1.14,1.66,1.35,1.2,1.25,0.69,1.28,1.39
d_0,0.69,0.8,1.54,0.31,0.71,0.55,0.97,3.51,0.96,1.13,0.89,1.19,1.23,1.39,1.01,1.01
c_0,0.67,0.82,0.35,0.9,0.52,0.59,1.16,1.07,3.45,1.41,3.36,1.61,1.47,1.35,0.98,1.03
g_1,0.63,0.52,0.67,1.28,0.61,0.59,0.95,0.68,1.09,8.44,1.23,2.19,1.25,1.26,1.41,0.5
b_0,0.55,0.72,0.74,0.81,0.31,0.78,1.23,1.01,1.46,1.29,4.33,1.46,3.22,1.13,1.37,1.36
f_0,0.51,0.4,0.79,0.74,0.71,0.73,1.36,1.41,1.37,1.23,1.64,4.72,1.53,1.9,2.72,1.1
a_0,0.67,0.84,0.78,0.81,0.52,0.4,1.12,1.43,1.58,1.0,1.33,1.12,4.5,1.11,1.3,0.92
h_0,0.65,1.1,0.67,0.76,0.69,0.61,0.4,1.17,1.3,1.91,1.25,1.13,1.04,0.92,1.3,1.9
e_0,0.33,0.81,0.65,0.89,0.69,0.54,1.38,1.19,1.55,1.38,1.47,1.24,1.45,1.67,5.45,1.56
g_0,0.59,0.67,0.68,1.51,0.59,0.62,1.11,0.88,1.36,0.62,1.09,2.36,1.13,1.32,1.2,0.85
