,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,4.42,3.73,2.97,3.7,,1.98,1.41,1.79,,1.78,1.46,1.54,1.97,1.45,0.91
e_1,3.78,0.41,2.3,3.16,3.36,3.56,2.19,2.12,1.51,2.3,1.43,1.81,1.26,1.93,,1.54
f_1,3.25,4.42,0.41,4.21,3.69,3.46,1.55,2.92,1.48,1.49,1.68,,1.02,1.56,1.6,1.19
c_1,4.69,3.4,2.87,0.38,4.64,4.22,2.11,1.6,,0.99,1.93,1.97,1.3,,,1.69
b_1,3.83,4.58,3.57,2.27,0.36,,1.64,1.75,2.01,1.41,,1.71,0.92,1.91,2.14,1.5
a_1,,3.16,3.62,3.94,,0.3,1.62,2.29,1.47,1.6,2.22,1.43,2.15,,,1.08
h_1,1.66,1.92,2.18,1.64,1.64,2.19,0.27,1.24,0.9,0.82,0.73,0.69,,0.66,0.82,0.75
g_1,1.99,1.83,1.9,1.98,1.82,1.57,0.72,0.24,0.99,0.79,0.93,1.06,0.5,0.84,1.02,
c_0,1.11,1.95,1.72,,1.52,2.21,0.93,0.74,0.3,0.8,0.77,0.72,0.57,0.51,0.68,0.52
d_0,,0.92,1.77,1.83,1.68,1.4,0.79,1.03,0.69,0.28,0.92,0.71,0.56,0.88,0.63,0.66
b_0,1.53,1.54,1.5,1.77,,1.75,0.97,0.79,0.41,0.65,0.27,0.67,0.9,0.99,0.79,0.89
f_0,1.63,2.07,,1.35,1.79,1.32,1.0,0.57,0.7,0.77,0.97,0.27,0.76,0.67,0.75,0.35
h_0,1.2,1.26,1.36,1.35,2.12,0.98,,0.77,0.52,0.62,0.49,0.49,,0.48,0.53,0.66
a_0,1.44,1.33,1.7,,1.78,,1.02,0.96,0.87,0.78,0.39,0.65,0.64,0.23,,0.6
e_0,1.57,,1.76,,1.21,,0.82,0.68,0.83,0.63,0.92,0.45,0.67,,0.22,0.76
g_0,1.38,1.38,1.99,1.04,1.17,1.38,0.51,,0.67,0.64,0.43,0.85,0.4,0.68,0.55,
