,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.2,0.45,0.18,0.22,0.19,0.16,0.43,0.47,0.33,0.41,0.12,0.42,0.47,0.31,0.25,0.44
e_1,0.25,2.23,0.26,0.17,0.16,0.17,0.33,0.88,0.4,0.5,0.49,0.48,0.76,0.13,0.37,0.39
c_1,0.26,0.19,2.38,0.21,0.39,0.18,0.4,0.42,0.29,0.06,0.43,0.36,0.6,0.23,0.36,0.66
d_1,0.23,0.23,0.19,2.42,0.17,0.15,0.45,0.12,0.39,0.96,0.59,0.37,0.5,0.4,0.34,0.51
b_1,0.26,0.2,0.21,0.24,2.61,0.33,0.34,0.5,0.32,0.33,0.42,0.11,0.65,0.34,0.38,0.55
a_1,0.26,0.23,0.3,0.23,0.17,2.99,0.32,0.56,0.3,0.38,0.38,0.4,0.65,0.4,0.09,0.46
h_1,0.63,0.32,0.4,0.33,0.32,0.25,2.9,0.72,0.94,0.96,0.54,0.71,0.43,0.51,0.6,1.13
d_0,0.48,0.39,0.71,0.12,0.34,0.26,0.82,2.19,0.55,0.82,1.06,0.76,0.99,0.49,0.53,1.09
g_1,0.42,0.34,0.32,0.61,0.31,0.3,0.68,0.71,3.15,0.58,1.18,0.87,0.9,0.79,0.63,0.42
c_0,0.43,0.48,0.13,0.49,0.32,0.26,0.67,0.78,0.74,2.36,0.83,1.66,0.92,0.92,0.77,0.72
f_0,0.16,0.33,0.47,0.54,0.39,0.32,0.74,0.79,0.61,0.97,2.54,0.88,1.04,1.65,0.55,1.16
b_0,0.43,0.47,0.48,0.31,0.12,0.27,0.92,0.85,0.88,1.01,0.88,2.55,1.08,0.67,1.32,0.96
h_0,0.58,0.36,0.36,0.33,0.36,0.32,0.36,0.76,0.85,0.74,0.83,0.99,0.54,0.69,0.58,0.99
e_0,0.35,0.21,0.43,0.36,0.43,0.32,0.89,1.22,0.71,1.06,0.96,1.15,1.16,3.08,1.03,1.23
a_0,0.5,0.31,0.5,0.43,0.37,0.12,0.91,1.04,0.56,0.83,0.61,1.0,1.16,0.86,3.02,1.04
g_0,0.28,0.41,0.4,0.63,0.42,0.26,0.81,0.46,0.21,0.75,1.09,0.91,0.92,0.73,0.53,0.34
