,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.25,0.53,0.55,0.41,0.51,0.34,0.94,0.84,2.06,0.81,1.06,0.76,0.76,1.35,0.43,1.12
f_1,0.83,2.3,0.5,0.47,0.42,0.3,0.81,0.7,0.9,0.77,0.39,0.9,0.79,1.16,0.54,1.0
c_1,0.55,0.47,2.38,0.4,0.78,0.32,0.93,0.73,0.86,0.41,0.93,0.74,0.82,1.23,0.75,0.99
d_1,0.52,0.52,0.36,2.46,0.4,0.37,0.88,0.95,0.38,1.79,1.01,1.21,1.1,1.2,0.83,1.09
b_1,0.41,0.49,0.51,0.51,2.48,0.68,0.86,0.69,1.11,0.94,0.93,0.47,0.6,1.1,0.81,1.26
a_1,0.42,0.6,0.54,0.48,0.48,3.16,1.01,0.73,1.02,1.03,0.87,0.81,0.27,1.14,1.05,0.79
h_1,0.64,0.85,0.55,0.55,0.48,0.41,2.93,1.32,1.21,0.94,0.95,1.07,0.9,0.77,0.94,1.57
g_1,0.57,0.5,0.6,0.99,0.48,0.41,1.03,3.18,0.87,1.25,1.64,1.2,0.93,1.4,1.0,0.69
d_0,0.56,0.71,1.2,0.27,0.51,0.38,1.11,0.87,2.43,0.79,1.04,0.93,0.91,1.36,0.7,1.37
c_0,0.65,0.75,0.37,0.62,0.47,0.4,1.2,1.15,1.16,2.72,1.23,2.54,1.18,1.49,1.01,1.36
f_0,0.65,0.42,0.67,0.56,0.54,0.45,1.24,1.05,1.4,1.15,2.81,1.41,1.42,1.62,2.17,1.27
b_0,0.66,0.65,0.64,0.71,0.2,0.26,1.17,1.43,1.04,1.38,1.1,3.01,2.02,1.43,1.03,1.26
a_0,0.66,0.7,0.6,0.58,0.54,0.25,1.2,1.22,1.06,1.17,1.55,1.11,3.06,1.58,1.12,1.22
h_0,0.57,0.99,0.58,0.66,0.49,0.35,0.63,1.21,1.33,1.24,0.9,0.98,1.3,0.84,0.88,1.66
e_0,0.27,0.76,0.58,0.75,0.62,0.49,1.27,0.98,1.08,1.39,1.08,1.07,0.78,1.6,3.13,1.34
g_0,0.54,0.63,0.68,0.96,0.46,0.39,1.16,0.55,1.0,0.99,1.74,1.15,1.06,1.34,1.15,0.91
