,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.65,0.66,0.97,1.11,0.98,0.84,0.44,0.44,0.46,0.34,0.42,0.36,0.31,0.4,0.29,0.33
f_1,1.08,0.64,0.87,1.02,0.89,0.74,0.34,0.42,0.46,0.35,0.42,0.34,0.24,0.3,0.34,0.3
d_1,1.07,1.1,0.63,0.95,0.89,0.85,0.41,0.43,0.31,0.41,0.34,0.38,0.27,0.32,0.31,0.2
c_1,0.82,1.02,1.18,0.63,1.08,0.85,0.44,0.25,0.43,0.4,0.34,0.3,0.3,0.3,0.31,0.3
b_1,1.0,1.26,1.07,0.71,0.62,1.16,0.48,0.36,0.47,0.5,0.38,0.44,0.33,0.38,0.32,0.29
a_1,1.28,1.47,1.25,1.14,0.7,0.57,0.62,0.5,0.52,0.47,0.41,0.62,0.35,0.47,0.51,0.34
h_1,1.53,1.67,1.56,1.52,1.51,1.33,0.54,0.56,0.81,0.54,0.54,0.53,0.49,0.47,0.44,0.47
d_0,1.19,1.46,1.91,1.99,1.89,1.41,0.86,0.55,0.91,0.55,0.61,0.57,0.49,0.63,0.6,0.57
g_1,1.71,1.66,1.89,1.79,1.6,1.52,0.6,0.58,0.52,0.61,0.6,0.54,0.39,0.51,0.47,0.45
c_0,1.85,1.66,1.18,2.31,1.61,1.79,0.83,0.89,0.74,0.54,0.63,0.76,0.52,0.6,0.57,0.49
f_0,1.61,1.88,1.96,1.81,1.83,1.57,0.83,0.67,0.63,0.65,0.54,0.61,0.52,0.77,0.6,0.39
b_0,1.71,1.8,1.57,2.5,2.12,1.52,0.84,0.72,0.89,0.45,0.64,0.52,0.55,0.64,0.71,0.58
h_0,1.95,2.02,2.05,2.0,1.89,1.63,1.03,0.77,1.04,0.72,0.74,0.74,0.64,0.59,0.68,0.62
e_0,2.16,2.48,2.06,2.19,1.94,1.67,0.98,0.81,0.9,0.84,0.5,0.69,0.64,0.5,0.79,0.55
a_0,2.1,2.01,2.0,2.47,2.59,2.09,0.96,0.77,0.98,0.64,0.71,0.45,0.7,0.57,0.52,0.57
g_0,2.17,2.13,2.25,2.05,2.06,1.89,0.78,0.79,1.06,0.77,0.82,0.75,0.55,0.7,0.7,0.63
