,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.63,0.87,0.56,0.67,0.55,0.73,1.31,0.86,0.73,0.89,0.83,0.94,0.63,0.46,0.8
f_1,1.12,1.52,0.64,0.67,0.51,0.51,0.7,0.79,0.72,0.61,0.73,0.43,0.7,0.66,0.61,0.68
c_1,0.6,0.73,1.54,0.76,1.05,0.49,0.78,0.67,0.39,0.67,0.57,0.7,0.88,0.67,0.67,0.77
d_1,0.71,0.77,0.55,1.55,0.63,0.49,0.82,0.65,1.25,0.73,1.01,0.88,0.89,0.81,0.71,0.76
b_1,0.62,0.84,0.6,0.67,1.63,1.13,0.79,0.79,0.79,0.69,0.34,0.67,0.81,0.56,0.75,0.84
a_1,0.72,0.9,0.88,0.81,0.48,1.73,0.85,0.96,0.93,0.79,0.95,0.81,0.98,0.45,0.68,0.85
h_1,0.9,1.15,0.87,0.91,0.77,0.73,1.75,1.0,1.05,1.15,0.89,0.97,0.77,0.88,0.98,1.25
d_0,0.81,0.93,1.65,0.62,0.82,0.75,1.09,1.55,0.85,0.88,1.16,1.08,1.21,0.93,0.92,1.1
c_0,1.03,1.0,0.83,0.99,0.64,0.81,1.0,1.34,1.59,1.03,1.87,1.06,1.16,0.97,0.93,1.21
g_1,0.83,0.81,0.93,1.26,0.87,0.71,1.02,1.07,1.06,1.86,1.06,1.61,0.94,1.01,1.02,0.81
b_0,1.05,1.0,1.12,0.96,0.7,0.66,1.16,1.27,0.91,0.99,1.63,1.06,1.26,1.49,0.84,1.24
f_0,0.85,0.7,1.16,0.9,1.03,0.92,1.22,1.21,1.18,0.95,1.13,1.71,1.19,0.99,1.48,1.08
h_0,0.88,1.35,1.02,1.04,0.99,0.71,0.95,1.32,1.18,1.26,1.13,1.01,0.98,0.95,0.97,1.37
a_0,1.17,1.0,1.04,0.98,0.83,0.68,1.27,1.34,1.25,1.13,1.03,1.38,1.4,1.73,0.93,1.24
e_0,0.79,1.25,1.0,1.19,0.88,0.91,1.27,1.29,1.2,1.18,1.27,1.04,1.26,1.36,1.73,1.04
g_0,0.96,0.98,1.01,1.56,0.89,0.7,1.09,1.05,1.14,0.79,1.07,1.5,1.22,1.03,1.19,1.01
