,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.05,0.97,0.81,0.76,0.8,0.47,0.34,0.49,0.39,0.41,0.38,0.37,0.35,0.28,0.27
f_1,0.94,1.0,1.25,0.85,0.84,0.63,0.4,0.45,0.43,0.41,0.39,0.41,0.35,0.28,0.28,0.32
e_1,1.04,0.8,1.0,1.23,0.95,0.78,0.53,0.49,0.43,0.63,0.49,0.43,0.41,0.38,0.36,0.36
c_1,1.25,1.17,0.82,1.0,1.22,0.76,0.56,0.52,0.36,0.29,0.3,0.41,0.3,0.35,0.33,0.31
b_1,1.31,1.19,1.05,0.83,1.0,1.07,0.65,0.58,0.58,0.5,0.4,0.41,0.34,0.4,0.32,0.39
a_1,1.27,1.57,1.28,1.32,0.92,1.0,0.9,0.6,0.58,0.57,0.68,0.54,0.36,0.52,0.52,0.55
h_1,2.13,2.51,1.83,1.75,1.62,1.07,1.0,1.0,0.88,0.8,0.87,0.7,0.67,0.77,0.69,0.7
g_1,2.95,2.25,2.08,1.88,1.71,1.57,0.98,1.0,0.86,0.87,0.97,1.0,0.78,0.7,0.85,0.69
c_0,1.91,2.49,2.41,2.8,1.76,1.71,1.15,1.14,1.0,1.22,1.32,0.79,0.9,0.78,0.76,0.78
d_0,2.7,2.37,1.63,3.29,2.04,1.67,1.18,1.16,0.81,1.0,0.94,0.87,0.93,0.87,0.74,0.72
b_0,2.35,2.79,2.09,3.26,2.38,1.45,1.13,1.05,0.72,1.11,1.0,0.88,1.1,0.8,0.79,0.76
f_0,2.63,2.55,2.38,2.57,2.43,1.79,1.42,0.98,1.2,1.1,1.05,1.0,0.91,0.94,1.47,0.73
a_0,2.65,2.72,2.6,3.5,2.69,2.56,1.52,1.26,1.12,1.19,0.91,1.05,1.0,1.04,0.98,0.88
h_0,2.82,3.5,2.8,2.9,2.38,1.99,1.31,1.38,1.28,1.17,1.22,1.11,0.97,1.0,0.75,0.97
e_0,3.26,3.64,2.9,3.32,3.02,2.0,1.46,1.1,1.3,1.33,1.25,0.69,1.0,1.36,1.0,0.81
g_0,3.83,3.21,2.86,2.92,2.76,1.87,1.37,1.4,1.34,1.42,1.29,1.32,1.16,1.05,1.2,1.0
