,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,1.0,2.15,2.39,2.24,2.27,0.63,0.43,0.77,0.46,0.4,0.53,0.28,0.43,0.37,1.05
f_1,1.92,0.43,1.78,2.08,2.27,1.97,0.42,0.43,0.59,0.33,0.38,0.96,0.22,0.36,0.33,0.35
d_1,2.57,2.16,0.42,2.1,1.83,1.88,0.58,1.36,0.36,0.43,0.54,0.35,0.32,0.39,0.18,0.32
c_1,1.78,2.26,2.57,0.42,2.16,1.79,0.65,0.23,0.59,0.7,0.38,0.36,0.25,0.46,0.31,0.37
b_1,2.15,2.77,2.28,1.26,0.4,2.04,0.76,0.53,0.7,0.54,1.01,0.48,0.34,0.58,0.35,0.63
a_1,2.44,3.96,2.7,2.74,1.31,0.33,0.82,0.61,1.23,0.5,0.97,0.61,0.54,2.33,0.43,0.56
h_1,3.12,4.18,2.88,3.25,3.64,3.28,0.33,0.76,1.02,0.73,0.57,0.62,0.89,0.59,0.65,0.76
d_0,2.21,3.54,6.71,3.7,3.76,3.44,0.94,0.4,1.15,0.71,0.79,0.83,0.59,0.72,0.63,0.74
g_1,3.62,4.43,3.87,3.93,4.16,4.05,0.79,0.91,0.29,0.75,0.71,0.7,0.42,0.67,1.02,0.87
c_0,3.6,3.91,2.21,8.89,4.22,3.52,1.08,1.08,1.21,0.4,0.97,0.9,0.64,0.84,0.55,0.79
b_0,3.72,4.28,3.42,5.35,8.13,3.96,1.39,0.78,1.02,0.42,0.34,0.84,0.57,0.73,0.56,0.68
f_0,4.18,10.01,3.59,4.99,3.39,3.79,1.18,0.99,0.64,0.93,0.74,0.35,0.55,0.67,0.38,0.77
h_0,4.36,4.86,4.34,4.12,4.98,4.73,2.31,0.89,1.22,0.84,0.71,0.79,1.2,0.69,0.71,0.79
a_0,4.04,5.12,4.4,5.97,6.93,9.69,1.23,1.2,1.18,0.94,0.47,0.79,0.68,0.32,0.91,0.87
g_0,5.43,5.7,4.49,4.8,5.65,4.97,0.84,1.21,2.38,1.05,1.08,0.83,0.61,0.85,0.88,1.12
e_0,8.91,10.19,4.5,4.44,4.61,4.34,1.35,1.04,1.47,0.97,1.15,0.44,0.61,0.9,0.64,0.32
