,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12930.09,191.29,198.83,192.35,387.54,812.05,198807.83,1172582.6,782426.33,426146.96,1238044.87,895927.34,5614935.66,6296851.79,,10053098.66
f_1,278.11,15731.4,229.2,240.12,295.65,844.76,174161.41,531716.12,627416.61,567441.95,1408661.1,,8087718.11,7929572.53,4959655.2,10039758.06
c_1,191.3,146.34,16348.76,201.65,853.19,1223.77,170028.33,567363.05,,428884.48,811196.56,1433596.35,8829695.83,9380874.69,7140211.5,12647098.21
d_1,160.88,157.89,226.36,16713.92,544.15,1229.28,143245.8,,1115768.88,520566.31,1588947.99,1539357.72,7959726.57,4886035.02,5737861.11,10163185.37
b_1,111.34,277.75,187.99,171.65,39299.78,2092.53,209167.17,601024.93,916449.19,489824.93,,1649570.51,7015173.97,5796843.4,,8038473.42
a_1,146.38,195.33,167.72,225.69,254.64,154651.42,266414.82,617355.98,481971.69,476008.95,1334604.26,1936448.74,4966452.41,,,11229377.03
h_1,581.34,815.56,758.47,661.61,1662.43,4213.83,9187014.41,2059429.49,2300728.01,2264401.9,4818277.47,5872521.14,,,36756053.27,71781501.06
d_0,870.27,1272.32,1790.83,,1655.78,5984.87,938818.99,17727219.23,2423617.91,2010069.9,5355673.67,7978055.73,39860053.05,22089056.12,33173318.37,80406003.93
c_0,818.14,942.87,,773.18,1884.73,7140.38,926879.79,3133310.59,19110821.12,2309337.18,9474992.51,5651212.48,42761176.27,46626009.24,44361477.21,73336907.26
g_1,624.69,462.08,593.3,1213.53,1222.5,3735.68,687650.78,2450126.92,2399596.91,29932562.67,4678345.46,8181090.08,31791243.25,20908802.55,25065562.81,
b_0,946.24,1088.78,1131.69,1191.41,,4715.48,874953.75,2514108.73,3331866.61,2006062.4,46729643.37,4965232.16,42804838.47,63636020.45,27421182.6,47324385.71
f_0,765.68,,1142.75,1204.09,1831.38,7195.22,1078842.06,3099965.26,2731074.65,2855950.93,5734192.23,53479810.87,41749443.95,,63639591.45,59599933.75
h_0,1297.55,2258.33,1690.09,1728.44,3159.98,10641.5,,3152016.92,4129796.68,4020792.0,8787962.78,6591247.61,,46325307.13,62476850.59,119444816.4
a_0,848.16,1033.33,1125.2,1255.34,1844.24,,,2575428.46,2327135.22,2433541.68,4050486.91,,55496212.08,391128711.03,38893834.98,53581653.65
e_0,,989.48,617.09,999.23,,,1802357.05,2733322.57,3275744.02,2609923.72,5553491.47,9927280.97,28932630.09,38057438.97,394316720.67,46177415.8
g_0,965.57,1432.1,1382.22,2120.38,3067.15,8535.68,1397461.35,3866770.05,3386473.39,,8803196.52,23324661.43,44865951.74,59015831.41,40427676.36,
