,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,0.98,0.85,0.82,0.82,0.49,0.33,0.34,0.59,0.41,0.38,0.31,0.38,0.3,0.27
e_1,0.91,1.0,0.72,1.03,0.91,0.77,0.54,0.6,0.5,0.43,0.46,0.45,0.39,0.33,0.52,0.36
f_1,1.02,1.39,1.0,0.97,0.8,0.94,0.39,0.44,0.53,0.39,0.33,0.38,0.25,0.3,0.25,0.29
c_1,1.18,0.97,1.03,1.0,1.18,0.74,0.44,0.32,0.45,0.46,0.38,0.35,0.44,0.32,0.29,0.45
b_1,1.22,1.1,1.25,0.84,1.0,1.11,0.62,0.42,0.46,0.55,0.4,0.39,0.4,0.36,0.4,0.42
a_1,1.22,1.3,1.06,1.34,0.9,1.0,0.79,0.62,0.63,0.64,0.6,0.6,0.59,0.5,0.56,0.45
h_1,1.99,1.79,2.64,2.26,1.58,1.21,1.0,0.91,1.27,0.81,0.79,0.8,0.91,0.63,0.66,0.75
d_0,2.88,1.59,2.3,3.25,2.27,1.56,1.09,1.0,0.8,0.8,0.84,0.83,0.8,0.61,0.66,0.83
g_1,2.94,1.98,1.96,2.19,2.23,1.49,0.81,1.24,1.0,0.96,1.06,0.97,0.78,1.05,0.91,0.53
c_0,1.67,2.33,2.66,2.15,1.88,1.39,1.35,1.27,1.01,1.0,1.07,1.55,1.05,0.83,0.91,1.02
f_0,2.37,2.23,3.15,2.69,2.44,1.71,1.26,1.14,1.03,0.95,1.0,1.02,1.04,0.74,1.09,0.61
b_0,2.64,2.17,2.7,3.16,2.32,1.62,1.21,1.26,0.98,0.7,1.03,1.0,1.01,1.29,0.89,0.72
h_0,3.2,2.48,4.05,2.31,2.56,1.59,1.04,1.22,1.28,0.92,0.95,1.01,1.0,0.91,0.84,0.94
a_0,2.78,2.86,3.43,3.18,2.58,,1.65,1.51,0.92,1.23,1.42,0.79,1.16,1.0,1.16,0.94
e_0,3.16,1.9,4.03,3.43,2.54,1.81,1.55,1.56,1.01,1.15,0.86,1.19,1.11,0.86,1.0,1.09
g_0,3.65,2.63,3.75,2.48,2.32,2.14,1.36,1.21,1.89,1.07,1.63,1.35,1.06,1.12,0.92,1.0
