,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.6,2.43,1.31,1.35,1.1,1.02,4.22,4.99,5.16,4.45,5.79,2.76,9.26,6.03,8.12,4.91
e_1,1.26,5.86,1.05,1.53,1.5,1.4,3.98,4.26,11.7,6.15,6.49,6.47,7.26,5.99,8.96,2.8
d_1,1.49,0.99,6.45,1.07,1.17,1.3,5.53,5.26,2.57,12.08,8.19,7.42,10.39,6.56,8.9,7.45
c_1,1.35,1.28,1.07,6.8,2.46,1.15,5.02,4.15,5.41,2.71,4.04,7.35,8.32,7.34,7.71,6.0
b_1,1.27,1.27,1.1,1.45,7.75,2.64,4.82,3.92,5.55,5.25,1.95,5.01,10.72,4.02,10.15,6.7
a_1,1.52,1.09,1.56,1.19,1.32,10.51,4.82,4.97,5.74,5.88,6.36,6.63,11.59,3.41,8.17,6.46
h_1,2.29,1.47,1.72,1.48,1.3,1.11,15.8,7.85,7.13,8.52,7.28,6.43,6.21,7.65,16.0,8.17
g_1,1.38,1.39,2.5,1.68,1.4,1.45,5.82,19.04,6.62,7.14,7.43,11.34,10.36,8.73,6.93,7.82
d_0,1.7,1.35,0.93,3.2,1.42,1.49,5.8,4.2,15.34,5.86,8.4,7.15,9.5,7.07,9.59,11.61
c_0,1.89,1.36,2.08,1.02,1.0,1.44,6.45,6.51,7.04,16.52,15.4,6.6,14.3,10.34,14.33,12.0
b_0,1.94,1.31,1.84,1.67,0.68,1.31,6.75,6.96,7.86,7.96,17.58,7.47,11.65,15.57,13.24,10.05
f_0,0.9,1.12,2.18,1.8,1.59,1.73,6.43,5.29,8.57,10.79,8.74,19.78,11.3,7.68,15.35,18.59
h_0,2.37,1.51,1.75,1.66,1.61,1.32,3.43,7.67,6.6,7.06,7.86,7.14,7.51,8.6,16.34,7.99
a_0,2.22,1.25,1.81,1.43,1.54,0.73,7.07,5.88,7.16,7.16,7.84,9.25,12.83,23.84,12.69,12.19
g_0,1.38,1.28,2.7,1.68,1.51,1.49,4.49,3.93,6.22,7.97,8.99,12.97,10.95,7.51,8.3,8.5
e_0,2.13,0.83,1.69,1.88,1.42,1.45,6.48,6.3,8.29,7.88,9.31,7.32,15.15,11.81,12.42,27.66
