,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.25,0.66,0.42,0.67,0.52,0.4,0.93,2.28,1.14,0.94,1.3,1.22,1.68,1.13,0.48,1.16
f_1,1.05,2.3,0.51,0.54,0.39,0.39,1.18,1.17,1.21,0.76,1.2,0.53,1.2,0.86,0.72,1.37
d_1,0.6,0.61,2.45,0.36,0.51,0.43,1.07,0.45,2.29,0.95,1.22,1.19,1.46,1.05,0.91,1.36
c_1,0.55,0.51,0.51,2.52,1.03,0.4,0.85,1.21,0.34,0.76,0.95,1.02,1.34,0.72,0.98,1.21
b_1,0.48,0.6,0.54,0.6,2.66,0.87,0.96,1.25,1.13,1.09,0.68,1.12,1.38,0.73,0.98,1.12
a_1,0.61,0.74,0.6,0.56,0.43,3.02,1.14,1.35,1.0,0.62,1.13,1.02,1.4,0.37,1.08,1.42
h_1,0.62,1.05,0.78,0.57,0.53,0.43,3.11,1.25,1.55,1.48,1.54,1.43,1.14,1.27,0.92,2.0
d_0,0.72,0.76,0.42,1.26,0.64,0.5,1.12,2.54,0.99,1.02,1.32,1.33,1.91,1.08,1.03,1.52
c_0,0.74,0.89,0.83,0.38,0.49,0.65,1.52,1.23,2.71,1.13,2.46,1.42,1.75,1.35,1.27,1.71
g_1,0.54,0.55,1.28,0.6,0.48,0.55,1.33,1.23,1.35,3.5,1.32,2.31,1.58,0.86,1.52,1.04
b_0,0.75,0.77,0.76,0.66,0.34,0.49,1.42,1.5,1.64,1.2,2.8,1.54,1.96,2.54,1.27,1.73
f_0,0.57,0.47,0.83,0.81,0.55,0.57,1.42,1.5,1.76,1.36,1.59,3.04,2.16,1.32,2.72,1.81
h_0,0.71,0.96,0.72,0.71,0.61,0.48,1.0,1.56,1.5,1.64,1.35,1.43,1.07,1.15,1.25,1.94
a_0,0.78,0.87,0.81,0.67,0.5,0.2,1.54,1.28,1.46,1.32,1.44,1.8,1.93,3.19,1.05,1.98
e_0,0.35,0.67,0.84,0.59,0.75,0.58,1.66,1.5,1.66,1.35,1.9,1.73,1.9,1.39,3.29,1.78
g_0,0.63,0.58,1.08,0.62,0.65,0.5,1.23,1.08,1.63,0.88,1.46,2.18,1.7,1.65,1.35,1.05
