,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.67,1.26,1.15,1.02,1.39,1.15,5.79,11.45,5.38,3.47,7.73,6.87,10.06,7.47,10.86,8.94
f_1,1.15,5.99,2.46,1.14,0.96,1.21,4.99,5.18,3.83,6.9,6.37,2.19,8.67,5.76,7.52,5.32
e_1,1.28,1.37,6.16,1.5,1.36,1.31,4.18,5.18,3.69,10.89,6.21,6.41,9.3,6.07,7.97,2.35
c_1,1.37,1.15,1.18,7.28,2.49,1.07,3.24,2.04,4.1,5.79,3.69,5.58,8.81,5.14,8.27,7.26
b_1,1.41,1.23,1.16,1.08,7.86,2.65,4.65,5.75,4.14,5.06,3.19,7.31,9.02,5.06,9.07,6.48
a_1,1.33,1.69,1.18,1.42,1.0,10.83,4.58,5.7,5.0,5.29,7.8,6.78,9.9,2.73,10.24,4.69
h_1,1.51,2.09,1.51,1.94,1.13,1.26,15.83,6.93,9.28,6.1,6.61,7.98,6.82,8.73,13.81,7.58
c_0,1.68,1.56,1.5,1.28,1.33,1.54,6.57,14.79,6.98,7.19,15.05,7.64,11.48,10.93,13.13,9.24
g_1,2.41,1.46,1.26,1.68,1.28,1.3,5.48,6.64,18.89,4.99,6.37,11.72,10.94,6.69,8.87,8.76
d_0,0.8,1.66,1.62,3.38,1.69,1.34,5.5,5.35,5.46,15.25,7.74,7.19,11.33,6.27,8.69,6.2
b_0,1.5,1.94,1.49,1.91,0.91,1.6,6.13,7.1,6.37,6.77,17.04,8.91,11.91,16.66,11.47,8.65
f_0,1.91,1.04,1.18,1.98,1.67,1.38,5.6,8.08,7.53,7.53,7.19,18.64,11.75,11.09,11.93,18.88
h_0,1.81,2.37,1.58,1.74,1.55,1.21,3.92,6.87,7.32,7.48,6.89,7.56,6.79,8.22,14.69,8.45
a_0,1.95,1.7,1.57,1.73,1.37,0.71,8.24,7.32,5.92,6.99,7.58,7.54,14.06,23.5,13.87,9.41
g_0,2.75,1.34,1.33,1.77,1.35,1.33,5.72,7.81,5.16,6.42,7.37,13.1,10.49,8.26,7.73,9.93
e_0,1.57,2.13,0.8,1.61,1.67,1.69,7.81,7.94,8.29,8.56,7.12,7.79,11.51,8.44,9.76,23.7
