,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.37,0.88,1.05,1.01,0.84,1.04,0.76,1.46,,1.06,0.89,1.1,0.93,0.72,0.66
e_1,0.73,1.0,0.74,1.04,0.91,1.05,1.21,1.18,0.95,1.34,1.15,0.94,1.07,1.05,0.97,
f_1,1.14,1.36,1.0,1.09,0.79,0.92,1.05,0.68,1.01,0.98,0.98,,0.91,0.78,0.97,1.13
c_1,0.95,0.96,0.92,1.0,1.3,0.91,1.21,1.13,,0.76,0.63,0.93,1.22,1.08,1.04,1.39
b_1,0.99,1.1,1.26,0.77,1.0,1.31,0.89,0.88,1.04,1.11,,1.05,0.97,1.1,,0.88
a_1,1.19,0.95,1.08,1.1,0.77,1.0,0.93,0.75,1.22,0.95,1.21,1.06,1.16,0.92,,
h_1,0.96,0.82,0.95,0.83,1.13,1.07,1.0,1.46,1.06,0.82,1.14,0.98,,1.15,0.88,0.83
g_1,1.31,0.85,1.47,0.89,1.14,1.33,0.68,1.0,0.89,1.05,1.11,1.33,0.59,,,
c_0,0.68,1.05,0.99,,0.96,0.82,0.95,1.12,1.0,1.1,1.51,0.82,1.04,0.98,1.21,1.2
d_0,,0.74,1.02,1.32,0.9,1.06,1.22,0.95,0.91,1.0,0.82,1.04,1.03,1.1,1.32,0.89
b_0,0.94,0.87,1.02,1.59,,0.83,0.88,0.9,0.66,1.22,1.0,1.04,0.94,1.18,1.66,
f_0,1.13,1.07,,1.08,0.95,0.94,1.02,0.75,1.22,0.96,0.96,1.0,1.28,0.65,1.03,1.17
h_0,0.91,0.93,1.1,0.82,1.03,0.86,,1.7,0.96,0.97,1.07,0.78,,1.27,,1.12
g_0,1.07,0.95,1.28,0.92,0.91,1.09,0.87,,1.02,0.91,0.85,1.53,0.79,,,1.21
a_0,1.39,1.03,1.03,0.96,,,1.14,,0.83,0.76,0.6,0.97,,,1.0,
e_0,1.52,,0.89,0.72,1.13,,1.21,,0.83,1.12,,0.85,0.89,0.83,,1.0
