,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,13894.01,3995.89,5938.0,10578.58,9296.54,38231.79,4863735.44,9560808.41,17812324.84,38955775.26,38794031.28,51639775.27,188283216.94,98103277.89,142718085.18,299042871.8
d_1,5166.33,14656.02,5522.11,6434.01,8756.36,37136.45,5068687.3,11303499.14,36496558.99,10668425.51,43396734.01,58782550.26,192654123.34,173690468.12,187605584.31,363467081.5
f_1,8478.76,4916.01,15613.61,7179.59,7855.47,31713.66,4491118.47,10570580.23,18434583.84,21475479.07,23644573.54,48299481.96,156762719.88,95863899.52,173816386.23,302331169.76
c_1,3863.38,4813.15,5721.24,25132.41,17772.39,38121.8,4233713.05,8736505.56,11003955.69,19430769.61,36654127.12,30627740.88,199895520.87,151662185.77,119996454.68,361158981.43
b_1,4428.87,4654.14,5253.2,8095.66,31328.34,78470.93,4345170.52,10973891.74,13858346.63,20800095.02,34874959.57,26201185.37,212572880.58,164673561.42,116462254.2,338999447.06
a_1,5058.03,5715.52,5671.62,9205.14,9026.2,172377.1,4000110.52,12013828.9,14960002.59,22087772.2,37312120.05,54894801.97,178672020.96,196126073.84,108913435.57,285006160.46
h_1,4945.76,6113.33,8104.98,9083.09,9723.31,34480.05,9190200.06,14960566.16,20036369.32,21347093.05,42999178.67,61488591.15,156065652.45,170095353.28,150544163.25,476637513.7
g_1,4748.77,8912.69,5479.33,7085.96,9201.09,43804.46,5065082.14,27907294.26,24579657.4,19843459.04,65582472.1,65345030.56,184553557.19,196176530.02,155966433.8,316058030.28
c_0,5458.61,7091.33,6742.64,5736.23,8946.72,39620.95,5774568.3,13661308.82,36028898.13,22725117.37,46567324.3,112778985.98,194550977.95,168598842.44,234976339.47,405370724.96
d_0,4777.01,3780.75,6294.81,17362.29,11457.03,35756.47,4854109.02,9928472.35,12811789.93,41502661.77,39472053.92,49538418.31,212070194.56,152691385.87,160871281.54,358100614.86
f_0,4257.95,5920.31,5662.19,8908.73,11959.59,37908.57,5634097.58,15297909.5,24119174.28,23053357.87,80556745.23,64398388.05,242462652.99,390169103.82,172363861.13,419304673.72
b_0,5116.43,7308.74,6847.75,9730.43,6957.89,25582.58,5253210.57,12293348.57,21163636.25,21862872.08,44778747.87,104244453.92,245209535.76,184696348.39,389359869.59,407014769.2
h_0,4598.63,6239.62,8211.56,10411.99,9929.53,42428.32,3513227.63,17580435.42,18618621.11,23411567.65,40697493.5,58121393.09,158811905.76,166568471.95,183436165.31,536520077.15
e_0,3962.46,6412.6,7092.9,8769.39,10156.63,42175.36,5927581.06,13086547.32,23112049.79,21524308.63,46024265.12,64893236.29,262314429.97,399402882.1,171172663.76,439529680.05
a_0,4747.1,6371.76,7136.96,9696.23,9800.26,26793.76,5581163.98,12970737.16,22045339.8,24164082.33,45209676.36,67093007.01,260517755.79,197506919.72,390624796.78,475556703.01
g_0,4202.16,8794.82,5156.58,10549.37,10329.8,41640.04,4632772.7,9463157.54,20613043.76,19283217.98,62514524.69,61940586.29,210296916.73,198706179.26,147818011.4,266539079.13
