,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.04,1.64,1.38,1.54,1.33,1.1,0.5,0.45,0.59,0.4,0.51,0.42,0.36,0.27,0.37,0.34
e_1,1.12,1.04,1.39,1.87,1.58,1.19,0.6,0.59,0.59,0.44,0.49,0.45,0.39,0.36,0.52,0.34
d_1,1.69,1.86,1.04,1.5,1.49,1.26,0.58,0.56,0.39,0.52,0.46,0.46,0.39,0.33,0.41,0.26
c_1,1.67,1.36,2.06,1.05,1.91,1.38,0.62,0.33,0.61,0.56,0.46,0.45,0.43,0.34,0.39,0.35
b_1,2.04,1.78,1.97,1.2,1.05,1.87,0.71,0.5,0.69,0.63,0.49,0.57,0.46,0.43,0.41,0.41
a_1,3.01,2.62,2.4,2.32,1.44,1.06,1.09,0.83,0.97,0.8,0.71,0.98,0.85,0.58,0.63,0.54
h_1,4.59,4.14,3.93,4.18,4.04,3.18,1.23,1.25,1.5,1.12,1.14,1.09,0.94,1.03,0.98,0.87
d_0,5.29,3.61,5.64,5.94,5.56,4.22,2.12,1.36,2.0,1.58,1.45,1.57,1.32,1.3,1.33,1.16
g_1,5.36,4.98,5.57,5.06,5.08,4.08,1.66,1.61,1.25,1.42,1.49,1.49,1.31,0.99,1.34,1.35
c_0,5.92,5.63,3.73,6.67,5.65,3.77,2.17,1.98,1.87,1.35,1.52,1.74,1.39,1.25,1.42,1.1
f_0,7.18,5.71,5.69,5.62,5.51,4.84,2.41,2.0,1.64,1.64,1.37,1.73,1.45,1.33,1.81,0.88
b_0,5.98,5.74,5.12,7.04,7.42,3.9,2.27,1.86,1.96,1.21,1.62,1.34,1.78,1.46,1.54,1.22
a_0,8.51,7.56,7.11,8.06,8.66,6.05,2.96,2.49,2.44,1.91,1.96,1.4,1.46,1.85,1.98,1.57
h_0,8.23,7.63,7.13,7.46,7.16,5.83,3.23,2.26,2.72,2.15,2.09,2.28,1.72,1.91,1.84,1.71
e_0,9.68,7.55,7.38,7.43,7.2,6.45,2.89,2.08,2.49,2.15,1.44,2.27,1.89,1.73,1.45,1.25
g_0,8.85,8.57,8.92,8.43,7.5,7.49,2.74,2.54,3.01,2.43,3.01,2.66,2.03,1.65,2.27,1.93
