,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.66,1.33,1.27,1.28,1.34,1.13,0.45,0.62,0.46,0.42,0.42,0.52,0.38,0.27,0.42,0.38
e_1,0.92,0.66,1.37,1.31,1.35,1.23,0.68,0.6,0.62,0.51,0.51,0.58,0.49,0.4,0.4,0.59
d_1,1.35,1.44,0.65,1.33,1.17,1.16,0.56,0.38,0.66,0.56,0.52,0.45,0.44,0.39,0.28,0.47
c_1,1.3,1.24,1.5,0.64,1.53,1.24,0.58,0.53,0.31,0.64,0.41,0.42,0.43,0.38,0.38,0.38
b_1,1.43,1.55,1.58,0.9,0.62,1.5,0.73,0.77,0.57,0.59,0.62,0.57,0.55,0.48,0.44,0.56
a_1,1.92,1.67,1.43,1.77,0.92,0.58,0.86,0.79,0.61,0.63,0.62,0.51,1.22,0.63,0.44,0.57
h_1,2.39,1.67,2.02,2.17,1.92,1.58,0.57,1.04,0.75,0.74,0.71,0.67,0.64,0.8,0.59,0.67
g_1,2.22,2.21,2.39,2.49,1.97,1.77,0.75,0.55,0.69,0.76,0.77,0.78,0.62,0.48,0.77,0.64
d_0,2.2,1.39,3.63,2.68,2.17,2.04,0.91,1.36,0.61,0.76,0.77,0.72,0.77,0.72,0.59,0.67
c_0,2.76,2.11,1.31,3.19,2.3,2.02,0.9,1.08,1.11,0.6,1.04,0.84,0.86,0.72,0.68,0.73
b_0,2.41,1.99,1.83,3.12,4.08,2.05,1.1,1.04,0.94,0.48,0.6,0.75,1.01,0.77,0.75,0.74
f_0,3.37,2.14,2.26,2.56,2.27,2.36,1.17,0.85,0.94,0.77,0.99,0.59,0.89,0.78,0.51,1.26
a_0,2.84,2.26,2.49,2.56,3.23,2.95,1.29,1.27,0.93,0.77,0.58,0.9,0.56,0.75,0.69,0.66
h_0,3.11,2.56,2.43,2.64,2.53,1.81,1.37,1.32,0.95,0.93,0.78,0.85,0.9,0.96,0.73,0.87
g_0,2.97,2.7,2.92,2.92,2.75,2.45,1.02,1.36,1.08,1.01,0.95,1.09,1.04,0.71,0.95,0.82
e_0,3.75,3.31,2.51,3.15,2.49,2.39,1.13,1.32,1.0,0.89,0.99,0.48,1.27,0.86,0.73,0.54
