,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,1.04,1.1,1.15,1.01,0.94,0.25,0.39,0.23,0.24,0.23,0.39,0.13,0.21,0.23,0.22
e_1,0.67,0.43,1.33,1.31,1.32,1.35,0.36,0.37,0.23,0.24,0.23,0.33,0.16,0.36,0.25,0.19
d_1,1.33,1.34,0.42,1.26,1.14,1.05,0.34,0.22,0.23,0.37,0.24,0.21,0.16,0.22,0.19,0.11
c_1,1.21,0.96,1.68,0.39,1.38,1.18,0.36,0.4,0.38,0.14,0.25,0.24,0.16,0.29,0.26,0.17
b_1,1.61,1.46,1.23,0.7,0.39,1.18,0.36,0.38,0.39,0.3,0.38,0.26,0.26,0.29,0.29,0.21
a_1,1.73,1.88,1.63,1.57,0.95,0.31,0.51,0.54,0.36,0.44,0.45,0.38,0.27,0.32,0.49,0.28
h_1,2.2,2.06,2.21,2.02,2.09,1.75,0.31,0.62,0.43,0.44,0.41,0.48,0.41,0.4,0.43,0.31
g_1,2.39,2.28,2.28,2.2,2.5,2.52,0.57,0.28,0.45,0.53,0.42,0.47,0.24,0.46,0.48,0.36
c_0,2.72,2.9,1.34,4.39,2.31,2.11,0.82,0.7,0.33,0.87,0.56,0.5,0.35,0.49,0.46,0.32
d_0,2.42,1.44,4.15,2.6,2.65,2.83,0.91,0.85,0.52,0.34,0.5,0.54,0.35,0.67,0.67,0.44
b_0,2.53,2.2,2.17,3.53,3.42,2.3,0.81,0.7,0.28,0.59,0.32,0.48,0.38,0.49,0.46,0.35
f_0,3.71,2.22,2.42,2.57,2.38,2.87,0.71,0.43,0.49,0.57,0.47,0.31,0.4,0.68,0.48,0.21
h_0,2.72,2.83,3.16,3.14,2.82,2.87,1.19,0.9,0.57,0.65,0.54,0.61,0.63,0.57,0.49,0.39
e_0,4.76,3.84,2.57,3.56,3.16,2.32,0.98,0.8,0.53,0.62,0.55,0.31,0.46,0.28,0.54,0.31
a_0,3.55,2.92,3.0,3.92,3.5,3.8,0.76,0.82,0.52,0.76,0.32,0.53,0.49,0.57,0.29,0.4
g_0,3.77,3.47,3.48,3.62,3.33,3.29,0.68,1.13,0.68,0.62,0.64,0.64,0.41,0.61,0.51,0.62
