,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.43,1.29,1.28,1.79,1.66,1.31,2.9,3.09,4.97,2.99,3.12,3.96,4.45,3.41,3.71,4.52
d_1,1.53,2.49,1.59,1.19,1.4,1.52,2.83,2.79,2.4,4.62,3.77,3.28,4.08,3.39,3.73,3.72
f_1,2.17,1.38,2.52,1.54,1.29,1.19,2.66,2.64,3.22,3.04,3.11,2.0,3.0,2.29,3.39,4.08
c_1,1.36,1.56,1.41,2.64,2.4,1.51,2.69,2.86,2.6,2.05,2.45,3.07,4.18,2.83,2.66,3.33
b_1,1.22,1.57,1.64,1.26,2.8,2.69,2.93,2.81,2.94,3.39,2.8,3.13,4.14,3.54,2.29,3.97
a_1,1.51,1.57,1.8,1.57,1.17,3.24,3.2,2.95,3.19,3.4,3.91,3.06,4.36,3.37,3.13,4.35
h_1,1.49,1.67,1.87,1.61,1.57,1.47,4.33,3.56,3.04,2.99,3.08,3.38,3.66,3.79,3.41,5.43
g_1,1.39,2.07,1.37,1.57,1.54,1.52,2.74,4.32,3.1,3.3,3.44,4.47,3.85,3.79,3.23,3.65
d_0,1.32,1.38,1.41,2.53,1.66,1.67,3.2,3.05,4.2,2.61,2.69,3.39,4.28,3.66,3.04,4.4
c_0,1.61,1.53,1.75,1.56,1.23,1.46,3.29,3.19,3.47,4.38,5.52,3.66,4.81,3.74,4.69,3.95
b_0,1.49,1.57,1.73,1.65,1.22,1.25,3.28,3.0,3.59,3.03,4.65,3.68,4.69,3.58,6.03,4.72
f_0,1.26,1.72,1.42,1.75,1.52,1.74,2.95,2.91,3.76,3.04,3.41,4.62,4.8,6.29,3.32,4.4
h_0,1.33,1.67,2.12,1.58,1.49,1.58,2.43,3.75,3.34,3.08,3.67,3.22,3.43,3.67,3.34,4.82
e_0,1.13,1.79,1.89,1.74,1.64,1.71,2.95,3.27,3.43,3.14,3.39,2.74,4.76,5.23,3.69,4.55
a_0,1.42,1.57,1.67,1.84,1.9,1.06,3.3,3.12,3.74,2.8,3.22,3.78,4.75,3.87,5.44,4.58
g_0,1.4,2.04,1.48,1.73,1.44,1.41,3.02,2.88,3.19,3.46,3.17,4.4,4.56,4.2,3.42,3.7
