,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.87,1.72,2.08,1.71,1.9,0.57,0.32,0.38,0.55,0.38,0.38,0.32,0.29,1.46,0.34
f_1,1.52,0.16,1.67,1.2,2.17,1.41,0.41,0.42,0.35,0.66,0.36,1.58,0.29,0.16,0.37,0.29
c_1,1.54,1.49,0.16,2.14,1.54,1.99,0.59,0.17,1.28,0.53,0.4,0.29,0.35,0.22,0.26,0.24
d_1,2.18,2.44,1.72,0.15,1.68,1.45,0.37,1.61,0.32,0.25,0.3,0.31,0.38,0.25,0.3,0.14
b_1,2.11,1.9,0.83,1.78,0.14,2.08,0.42,0.37,0.34,0.54,1.28,0.45,0.38,0.27,0.29,0.28
a_1,1.78,1.94,2.75,1.95,0.84,0.09,0.42,0.4,0.28,0.61,0.29,0.51,,0.28,0.38,0.23
h_1,1.11,1.14,0.93,0.83,0.78,0.82,0.07,0.23,0.22,0.27,0.18,0.17,0.18,0.26,0.23,0.15
d_0,0.48,0.92,1.17,2.77,0.84,1.22,0.37,0.08,0.21,0.29,0.18,0.18,0.16,0.16,0.18,0.14
c_0,0.86,0.92,3.5,0.46,0.98,1.15,0.31,0.23,0.08,0.27,0.21,0.16,0.19,0.15,0.23,0.12
g_1,1.05,1.23,0.86,0.8,1.12,1.08,0.18,0.27,0.16,0.05,0.16,0.17,0.15,0.12,0.2,0.27
b_0,0.75,0.98,1.02,1.0,3.42,0.78,0.26,0.16,0.1,0.25,0.07,0.15,0.2,0.12,0.17,0.12
f_0,0.78,3.1,1.0,0.85,0.98,0.75,0.24,0.18,0.16,0.16,0.21,0.06,0.21,0.12,0.16,0.09
a_0,0.76,0.99,1.07,1.07,1.06,,0.28,0.19,0.19,0.3,0.09,0.16,0.05,0.14,0.19,0.16
h_0,0.79,0.92,1.08,0.82,1.01,0.75,0.59,0.18,0.21,0.28,0.21,0.22,0.21,0.35,0.17,0.11
e_0,2.43,1.49,0.72,1.1,1.01,0.54,0.27,0.21,0.16,0.3,0.15,0.08,0.16,0.11,0.04,0.11
g_0,0.76,1.2,0.97,0.88,0.92,1.0,0.18,0.22,0.15,0.53,0.16,0.18,0.18,0.1,0.18,0.27
