,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.12,4.2,3.79,5.03,4.43,3.67,0.94,0.91,1.04,1.7,1.0,1.7,0.81,0.54,0.85,0.79
e_1,2.35,1.12,5.36,5.01,5.01,6.2,1.27,1.0,1.0,1.66,0.97,1.2,0.94,0.64,2.31,0.73
d_1,6.02,5.91,1.11,5.5,4.59,4.39,1.47,0.82,2.24,0.85,0.9,1.04,0.85,0.7,1.09,0.45
c_1,5.87,4.31,6.75,1.12,5.13,4.6,1.39,1.82,0.53,1.31,1.03,0.96,1.06,0.75,0.97,0.66
b_1,5.57,5.91,5.61,2.8,1.13,6.31,2.01,1.57,1.17,1.85,2.86,1.01,1.19,1.0,0.94,1.04
a_1,9.12,7.71,8.26,9.27,3.72,1.13,2.55,1.62,1.84,2.27,1.61,1.52,2.77,0.98,1.71,1.05
h_1,14.33,14.03,13.48,15.95,18.2,13.2,1.75,3.14,3.48,3.8,2.86,2.72,2.67,3.9,2.63,2.13
c_0,16.96,18.99,9.04,30.95,20.82,18.01,5.19,2.13,5.48,5.27,4.07,3.94,3.79,2.54,3.34,2.38
d_0,18.57,9.32,38.94,19.47,20.97,18.97,4.78,4.61,2.21,5.8,4.1,4.12,3.66,2.61,3.88,3.25
g_1,18.38,17.56,19.71,20.23,18.55,16.35,4.5,3.44,4.42,1.74,3.6,3.73,3.82,2.06,3.46,4.19
b_0,17.73,17.56,15.69,29.76,35.29,19.14,4.73,2.28,5.09,5.44,2.15,4.44,4.0,2.63,3.56,2.72
f_0,43.33,20.67,19.96,18.99,26.31,22.14,6.27,5.14,4.98,3.76,4.41,2.15,6.0,3.14,4.36,1.96
a_0,31.34,29.12,22.21,31.58,42.56,59.03,7.69,4.52,7.47,7.33,3.23,6.59,2.56,4.47,6.51,4.79
h_0,36.56,27.51,28.16,38.69,28.1,27.6,12.63,6.09,7.16,8.09,6.59,5.89,5.47,6.93,5.05,4.72
e_0,52.39,55.46,27.67,30.95,28.37,26.9,9.4,6.48,7.8,8.09,7.41,3.08,7.08,3.87,2.4,3.76
g_0,47.43,35.65,30.62,54.3,31.46,32.2,8.29,6.85,8.56,13.13,7.01,6.44,7.45,4.19,6.1,7.79
