,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.68,0.7,0.86,0.71,0.59,0.91,0.88,0.9,1.45,0.93,0.97,0.98,0.73,0.6,0.95
f_1,1.17,1.52,0.73,0.71,0.56,0.54,0.75,0.73,0.85,0.8,0.85,0.56,0.79,0.66,0.54,0.75
d_1,0.77,0.86,1.53,0.62,0.6,0.51,0.99,0.77,1.35,0.67,1.01,0.89,0.91,0.75,0.78,0.82
c_1,0.72,0.77,0.68,1.57,1.24,0.43,0.76,0.8,0.55,0.79,0.77,0.8,0.92,0.77,0.71,0.82
b_1,0.7,0.86,0.81,0.64,1.63,1.18,0.86,0.83,0.94,0.78,0.6,0.77,0.91,0.65,0.77,0.85
a_1,0.81,0.82,0.98,1.03,0.52,1.81,1.1,0.79,0.89,1.12,0.94,0.93,1.33,0.54,0.83,1.09
h_1,0.95,1.28,1.0,1.01,0.81,0.66,1.74,1.27,1.09,1.0,1.07,0.9,0.89,1.05,0.95,1.45
g_1,0.81,0.9,1.54,0.86,0.86,0.76,1.15,1.84,1.19,0.89,0.98,1.65,1.22,0.99,0.96,0.92
c_0,1.11,1.13,0.99,0.91,0.73,0.82,1.21,1.12,1.63,1.2,1.85,1.18,1.36,1.16,1.05,1.28
d_0,0.85,1.01,0.68,1.67,1.06,0.65,1.19,1.15,0.99,1.65,1.03,1.15,1.24,1.16,1.02,1.24
b_0,1.13,1.13,1.0,1.05,0.7,0.61,1.29,1.12,1.04,1.37,1.69,1.26,1.46,1.84,1.19,1.18
f_0,0.79,0.97,1.12,1.17,0.92,0.76,1.33,1.08,1.25,1.37,1.28,1.72,1.45,1.21,2.06,1.01
h_0,1.05,1.55,1.18,0.95,0.85,0.7,1.06,1.3,1.24,1.28,1.07,1.24,1.12,1.17,1.09,1.64
a_0,1.17,1.1,1.34,1.06,1.11,0.68,1.25,1.21,1.35,1.12,1.1,1.12,1.39,1.7,0.91,1.26
e_0,0.84,1.37,1.21,1.31,1.01,0.78,1.34,1.2,1.18,1.31,1.4,1.07,1.4,1.37,1.81,1.3
g_0,1.08,1.14,1.56,1.01,0.88,0.77,1.28,1.06,1.26,1.17,1.3,1.74,1.11,1.2,1.14,1.08
