,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,10678.36,1394.68,1302.86,1790.73,2861.88,15955.41,1281185.1,2167572.77,8803008.81,5940211.46,8062110.44,10059618.74,23900953.19,38041239.78,108775200.84,40047490.26
f_1,1853.41,11703.55,1764.2,1757.82,3025.78,17870.45,1409773.96,2073569.99,4109318.18,4160118.61,8561872.91,2625504.42,26432269.3,31055884.0,117115890.89,53871327.81
d_1,1057.94,1252.74,16138.42,1419.69,3997.57,20508.29,1372715.38,2292665.46,893324.52,10612161.66,8454766.85,9136679.35,27140276.51,45213340.93,100505098.42,61033006.87
c_1,1116.45,1328.73,1315.57,19354.43,7220.36,12412.94,1210177.73,2249692.27,4398279.86,895545.56,5017442.22,10205940.47,23441838.83,48202905.19,104283718.46,96558948.74
b_1,1210.78,1323.67,1682.72,1696.01,48356.24,32108.59,1035092.36,2004465.77,4170527.39,3618985.47,871973.34,11498550.18,21579584.54,40673489.87,86737276.72,79095399.52
a_1,900.54,1014.09,1658.02,2079.66,3643.69,357626.37,1402551.02,2355661.02,4792487.21,5987630.47,7245550.03,7973935.58,5734114.81,48872534.8,102782991.75,123720204.01
h_1,1834.8,2807.67,2374.32,3339.91,6700.43,19414.56,8564375.28,5070401.51,7813764.36,7989494.14,14274654.38,19501289.48,40403992.29,31340097.65,237773294.48,182835863.28
g_1,1781.11,1187.86,4130.32,3777.58,6030.39,33699.25,2389336.58,18121990.56,6183065.71,8788443.55,11423655.91,28884518.62,37179260.51,49220025.15,94966511.01,166818191.5
d_0,1741.94,2058.53,1180.96,6804.17,5869.71,29446.24,2122586.77,4483479.41,22622495.77,7097532.7,12532537.31,20650865.82,33175949.95,69491539.13,199810135.97,182206118.63
c_0,1986.0,2514.54,3427.36,1351.45,4989.35,36395.7,1949141.53,4532827.13,7293330.83,25309416.34,23763053.44,23146276.6,55051254.01,76673742.12,235611570.42,133571457.45
b_0,1742.55,2477.23,2422.79,3319.51,2492.56,40417.01,2154747.17,5297630.61,8846540.17,8916275.46,40448000.0,22324171.79,92204566.07,80214578.13,226220225.7,155988682.67
f_0,1590.47,791.91,3297.66,3965.96,4566.22,36093.19,2983050.52,5633779.45,9935182.51,8167038.45,15231541.22,54339824.98,57539331.75,88127283.12,216590288.27,386507722.38
a_0,1665.39,2384.59,3781.02,3385.19,5564.32,,2841019.39,4864601.34,9425537.48,8444299.44,16365296.8,17810945.43,188333690.48,53747111.61,241969466.41,190456700.11
h_0,1544.23,3154.32,3187.23,3117.63,6396.1,34172.6,821093.03,5082111.44,6946474.96,8694340.97,11587990.76,11897764.32,55897687.28,27787960.09,287704548.49,140967782.31
g_0,2026.22,1594.1,4107.36,2634.53,6923.78,34251.7,1683396.23,2806829.4,8951856.13,9238645.21,11580952.38,31103143.58,49983342.58,84075838.87,105141494.33,157441993.38
e_0,442.08,2840.39,2788.03,3621.28,9063.86,33628.94,2203718.7,4763104.44,10723079.0,9206479.71,14273939.39,18733570.73,34427029.54,88775027.18,202837562.27,665880542.64
