,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.51,0.68,0.59,0.76,0.6,0.64,0.93,0.76,1.73,0.81,1.0,1.07,1.08,1.05,0.53,0.94
f_1,1.11,2.54,0.62,0.63,0.58,0.44,0.72,0.78,0.79,0.84,1.02,0.45,0.92,0.98,0.75,0.97
d_1,0.63,0.78,2.81,0.46,0.57,0.66,1.12,1.01,0.49,1.67,1.08,0.93,1.01,0.98,0.96,1.0
c_1,0.58,0.58,0.64,2.9,1.25,0.59,0.75,0.77,0.9,0.41,0.64,0.83,0.89,0.83,1.03,0.91
b_1,0.6,0.64,0.63,0.7,3.09,1.21,0.91,0.93,0.82,0.88,0.32,0.85,0.97,0.77,1.0,0.86
a_1,0.57,0.68,0.72,0.65,0.6,4.41,1.02,1.01,0.88,1.02,1.02,1.3,0.93,0.46,1.03,0.89
h_1,0.7,1.13,0.85,0.86,0.68,0.71,2.72,1.45,0.93,1.11,1.13,1.04,0.74,0.96,1.26,1.62
g_1,0.7,0.65,1.35,0.78,0.7,0.86,0.88,3.23,0.77,1.19,1.34,1.76,1.0,0.97,1.15,0.74
d_0,0.71,0.83,0.53,1.54,0.81,0.73,1.03,0.87,2.13,0.89,1.16,1.25,1.19,1.1,1.32,1.13
c_0,0.89,0.84,0.89,0.65,0.49,0.71,1.37,1.21,1.19,2.21,2.57,1.49,1.16,1.43,1.24,1.26
b_0,0.81,0.96,0.82,0.92,0.46,0.52,1.09,1.15,1.18,1.09,2.66,1.27,1.43,2.71,1.26,1.33
f_0,0.69,0.41,0.91,1.0,0.8,0.77,1.22,1.21,1.11,1.12,1.46,2.69,1.24,0.98,2.66,1.3
h_0,0.78,1.21,0.86,0.75,0.7,0.89,0.73,1.44,1.03,1.08,1.01,1.24,0.86,1.09,1.07,1.49
a_0,0.8,0.88,0.94,1.11,0.67,0.35,1.29,1.08,1.09,1.25,1.07,0.83,1.29,3.37,1.07,1.16
e_0,0.42,0.73,1.09,0.92,0.97,0.71,1.54,1.64,1.03,1.16,1.16,1.28,1.29,1.29,3.48,1.42
g_0,0.77,0.8,1.48,0.59,0.82,0.69,1.08,0.83,0.87,1.14,1.1,1.65,1.15,1.13,1.2,0.84
